# word	phonemes	register
কেপটাউনে	k e p T a u n e	unknown
কেপটাউনের	k e p T a u n e r	unknown
কেপলার	k e p l a r	unknown
কেপলারের	k e p l a r e r	unknown
কেপল্যান্ড	k e p l e n D	unknown
কেপি	k e p i	unknown
কেপিআই	k e p i a i	unknown
কেপিএম	k e p i e m	unknown
কেপিএমের	k e p i e m e r	unknown
কেপিকে	k e p i k e	unknown
কেপিসিএল	k e p i sh i e l	unknown
কেফায়েত	k e ph a y e t	unknown
কেবট	k e b o T	unknown
কেবল	k A b O l	unknown
কেবলই	k e b O l i	unknown
কেবলমাত্র	k A b O l m a t r O	unknown
কেবলস	k e b O l sh	unknown
কেবলা	k e b l a	unknown
কেবলার	k e b l a r	unknown
কেবলি	k e b O l i	unknown
কেবলে	k e b o l e	unknown
কেবলের	k e b O l e r	unknown
কেবা	k e b a	unknown
কেবার	k e b a r	unknown
কেবি	k e b i	unknown
কেবিআর	k e b i a r	unknown
কেবিআরের	k e b i a r e r	unknown
কেবিএম	k e b i e m	unknown
কেবিন	k e b i n	unknown
কেবিনে	k e b i n e	unknown
কেবিনেট	k e b i n e T	unknown
কেবিনেটে	k e b i n e T e	unknown
কেবিনেটের	k e b i n e T e r	unknown
কেবিনের	k e b i n e r	unknown
কেবিপিএস	k e b i p i e sh	unknown
কেবিসি	k e b i sh i	unknown
কেবিসিসিআইয়ের	k e b i sh i sh i a i y e r	unknown
কেবেল	k e b e l	unknown
কেবেলর	k e b e l o r	unknown
কেব্ল	k e b l o	unknown
কেব্লস	k e b l o sh	unknown
কেভস	k e bh sh	unknown
কেভি	k e bh i	unknown
কেভিএ	k e bh i e	unknown
কেভিতোভা	k e bh i t O bh a	unknown
কেভিতোভার	k e bh i t O bh a r	unknown
কেভিন	k e bh i n	unknown
কেভিনের	k e bh i n e r	unknown
কেভির	k e bh i r	unknown
কেম	k e m	unknown
কেমত	k e m o t O	unknown
কেমন	k A m O n	unknown
কেমনভাবে	k A m O n bh a b e	unknown
কেমনে	k A m n e	unknown
কেমব্রিজ	k e m b ri j	unknown
কেমব্রিজে	k e m b r i j e	unknown
কেমব্রিজের	k e m b r i j e r	unknown
কেমার	k e m a r	unknown
কেমিকাল্স	k e m i k a l sh	unknown
কেমিকেল	k e m i k e l	unknown
কেমিকেলস	k e m i k e l sh	unknown
কেমিকোউশল	k e m i k O u sh o l	unknown
কেমিক্যাল	k e m i k e l	unknown
কেমিক্যালস	k e m i k A l sh	unknown
কেমিক্যালসের	k e m i k e l sh e r	unknown
কেমিক্যালে	k e m i k e l e	unknown
কেমিক্যালের	k e m i k A l e r	unknown
কেমিস্ট	k e m i sh T	unknown
কেমিস্ট্রি	k e m i sh T r i	unknown
কেমিস্ট্রির	k e m i sh T r i r	unknown
কেমো	k e m O	unknown
কেমোথেরাপি	k e m O th e r a p i	unknown
কেমোথেরাপির	k e m O th e r a p i r	unknown
কেমোর	k e m O r	unknown
কেম্পেস	k e m p e sh	unknown
কেম্পেসের	k e m p e sh e r	unknown
কেম্বিস	k e m b i sh	unknown
কেম্যান	k e m e n	unknown
কের	k e r	unknown
কেরকেটা	k e r o k e T a	unknown
কেরলের	k e r O l e r	unknown
কেরাজ	k e r a j	unknown
কেরাঞ্চি	k e r a n ch i	unknown
কেরাত	k e r a t	unknown
কেরানি	k e r a n i	unknown
কেরানিগঞ্জ	k e r a n i g o n j | k e r a n i g o n j o	unknown
কেরানিগঞ্জে	k e r a n i g o n j e	unknown
কেরানিগঞ্জের	k e r a n i g o n j e r	unknown
কেরানির	k e r a n i r	unknown
কেরানিহাট	k e r a n i h a T	unknown
কেরাম	k A r a m	unknown
কেরামত	k e r a m o t	unknown
কেরামতি	k e r a m O t i	unknown
কেরামতিয়া	k e r a m o t i y a	unknown
কেরামদের	k e r a m d e r	unknown
কেরামন	k e r a m O n o k a t e b i n	unknown
কেরামের	k A r a m e r	unknown
কেরালা	k e r a l a	unknown
কেরালার	k e r a l a r	unknown
কেরালায়	k e r a l a y o	unknown
কেরাসিন	k e r a sh i n	unknown
কেরি	k e r i	unknown
কেরিকে	k e r i k e	unknown
কেরির	k e r i r	unknown
কেরিয়ারের	k e r i y a r e r	unknown
কেরু	k e r u	unknown
কেরুনতলি	k e r u n t o l i	unknown
কেরুল	k e r u l	unknown
কেরোসিন	k e r O sh i n	unknown
কেরোসিনে	k e r O sh i n e	unknown
কেরোসিনের	k e r O sh i n e r	unknown
কেল	k e l	unknown
কেলগ	k e l o g o	unknown
কেলভিন	k e l bh i n	unknown
কেলা	k e l a	unknown
কেলানো	k A l a n O	unknown
কেলার	k e l a r	unknown
কেলাস	k e l a sh	unknown
কেলি	k e l i	unknown
কেলিশহর	k e l i sh o h o r	unknown
কেলু	k e l u	unknown
কেলে	k e l e	unknown
কেলেংকারি	k e l e ng k a r i	unknown
কেলেংকারিতে	k e l e ng k a r i t e	unknown
কেলেংকারির	k e l e ng k a r i r	unknown
কেলেংকার	k e l e ng k a r	unknown
কেলেংকারিই	k e l e ng k a r i i	unknown
কেলেন্ডার	k e l e n D a r	unknown
কেল্লা	k e l l a	unknown
কেল্লাফতে	k e l l a ph o t e	unknown
কেল্লার	k e l l a r	unknown
কেল্লায়	k e l l a y o	unknown
কেশ	k e sh	unknown
কেশকালা	k e sh k a l a	unknown
কেশব	k e sh o b	unknown
কেশবচন্দ্র	k e sh o b ch o n d r o	unknown
কেশবপুর	k e sh O b p u r	unknown
কেশবপুরে	k e sh o b p u r e	unknown
কেশবপুরের	k e sh o b p u r e r	unknown
কেশবানন্দ	k e sh o b a n o n d o	unknown
কেশর	k e sh O r	unknown
কেশরহাট	k e sh o r h a T	unknown
কেশাকর্ষন	k e sh a k o r sh O n	unknown
কেশাকেশি	k e sh a k e sh i	unknown
কেশাগ্র	k e sh a g g r O	unknown
কেশি(–শিন্)	k e sh i	unknown
কেশে	k e sh e	unknown
কেশেল	k e sh e l	unknown
কেশ্ট	k e sh T O | k e sh T o	unknown
কেশ্টার	k e sh T a r	unknown
কেস	k e sh	unknown
কেসটা	k e sh T a	unknown
কেসম	k e sh m	unknown
কেসমত	k e sh m o t	unknown
কেসাস	k e sh a sh	unknown
কেসি	k e sh i	unknown
কেসিং	k e sh i ng	unknown
কেসিএনএ	k e sh i e n o e	unknown
কেসিসি	k e sh i sh i	unknown
কেসিসির	k e sh i sh i r	unknown
কেসে	k e sh e	unknown
কেসের	k e sh e r	unknown
কেস্টার	k e sh T a r	unknown
কেহ	k e h O	unknown
কেহই	k e h O i	unknown
কেহনা	k e h n a	unknown
কেহ্মে	k e m h e	unknown
কেড়া	k A r a p O k a	unknown
কেড়ি	k e r i	unknown
কেড়েছিল	k e r e chh i l o	unknown
কেড়েছিলেন	k e r e chh i l e n	unknown
কেড়েছে	k e r e chh e	unknown
কেড়েছেন	k e r e chh e n	unknown
কেয়টখালি	k e y o T o kh a l i	unknown
কেয়া	k e y a	unknown
কেয়াইন	k e y a i n	unknown
কেয়াকাদি	k e y a k a d i	unknown
কেয়াকে	k e y a k e	unknown
কেয়াপাতা	k e y a p a t a	unknown
কেয়াপেজা	k e y a p e j a	unknown
কেয়াবন	k e y a b o n	unknown
কেয়ামত	k e y a m o t	unknown
কেয়ামতের	k e y a m o t e r	unknown
কেয়ামুল্লাহ	k e y a m u l l a h o	unknown
কেয়ার	k e y a r	unknown
কেয়ারগিভার	k e y a r g i bh a r	unknown
কেয়ারটেকার	k e y a r T e k a r	unknown
কেয়ারটেকারের	k e y a r T e k a r e r	unknown
কেয়ারি	k e y a r i	unknown
কেয়ারে	k e y a r e	unknown
কেয়ারের	k e y a r e r	unknown
কেয়ার্ন	k e y a r n o	unknown
কেয়ার্নস	k e y a r n sh	unknown
কেয়ার্নের	k e y a r n e r	unknown
কেয়ুর	k e y u r	unknown
ক্যেমিরুনের	k A m i r u n e r	unknown
ক্রেইগ	k r e i g	unknown
ক্রেইগকে	k r e i g k e	unknown
ক্রেইগের	k r e i g e r	unknown
ক্রেগ	k r e g	unknown
ক্রেগের	k r e g e r	unknown
ক্রেজ	k r e j	unknown
ক্রেজা	k r e j a	unknown
ক্রেজার	k r e j a r	unknown
ক্রেজি	k r e j i	unknown
ক্রেটিয়ান	k r e T i y a n	unknown
ক্রেডিট	k r e D i T	unknown
ক্রেডিটের	k r e D i T e r	unknown
ক্রেডিবল	k o k r e D i b o l	unknown
ক্রেডেনশিয়াল	k r e D e n sh i y a l	unknown
ক্রেতব্য	k r e t o b b O	unknown
ক্রেতা	k r e t a	unknown
ক্রেতাই	k r e t a i	unknown
ক্রেতাও	k r e t a O	unknown
ক্রেতাকে	k r e t a k e	unknown
ক্রেতাদের	k r e t a d e r	unknown
ক্রেতাদেরও	k r e t a d e r O	unknown
ক্রেতাপ্রতিশ্ঠান	k r e t a p r o t i sh Th a n	unknown
ক্রেতার	k r e t a r	unknown
ক্রেতারা	k r e t a r a	unknown
ক্রেতারাই	k r e t a r a i	unknown
ক্রেতারাও	k r e t a r a O	unknown
ক্রেতাশুন্য	k r e t a sh u n n O | k r e t a sh u n n o	unknown
ক্রেতাসাধারনকে	k r e t a sh a dh a r o n k e	unknown
ক্রেতাসাধারনের	k r e t a sh a dh a r o n e r	unknown
ক্রেতাহিন	k r e t o h i n	unknown
ক্রেন	k r e n	unknown
ক্রেনের	k r e n e r	unknown
ক্রেপ	k r e p	unknown
ক্রেমলিন	k r e m l i n	unknown
ক্রেমলিনে	k r e m l i n e	unknown
ক্রেমলিনের	k r e m l i n e r	unknown
ক্রেমার	k r e m a r	unknown
ক্রেমিস্টিকা	k r e m i sh T i k a	unknown
ক্রেস	k r e sh	unknown
ক্রেসিদা	k r e sh i d a	unknown
ক্রেস্ট	k r e sh T	unknown
ক্রেস্টে	k r e sh T e	unknown
ক্রেস্ট্রন	k r e sh T r o n	unknown
ক্রেয়	k r e y O	unknown
ক্লে	k l e	unknown
ক্লেইন	k l e i n	unknown
ক্লেইনের	k l e i n e r	unknown
ক্লেগ	k l e g	unknown
ক্লেগকে	k l e g k e	unknown
ক্লেগের	k l e g e r	unknown
ক্লেটন	k l e T o n	unknown
ক্লেদ	k l e d	unknown
ক্লেনজার	k l e n j a r	unknown
ক্লেনজিং	k l e n j i ng	unknown
ক্লেমন	k l e m o n	unknown
ক্লেমেন্ট	k l e m e n T o	unknown
ক্লেমেন্তে	k l e m e n t e	unknown
ক্লের	k l e r	unknown
ক্লেরি	k l e r i	unknown
ক্লেশ	k l e sh	unknown
ক্লেশকর	k l e sh k o r	unknown
ক্লেশে	k l e sh e	unknown
ক্লেয়ার	k l e y a r	unknown
ক্ষেউরি	kh e u r i	unknown
ক্ষেত	kh e t	unknown
ক্ষেতমজুর	kh e t m O j u r	unknown
ক্ষেতলাল	kh e t l a l	unknown
ক্ষেতলালে	kh e t l a l e	unknown
ক্ষেতলালের	kh e t o l a l e r	unknown
ক্ষেতে	kh e t e	unknown
ক্ষেতের	kh e t e r	unknown
ক্ষেত্র	kh e t r O	unknown
ক্ষেত্রই	kh e t r O i	unknown
ক্ষেত্রও	kh e t r O O	unknown
ক্ষেত্রকে	kh e t r O k e	unknown
ক্ষেত্রগুলো	kh e t r O g u l O	unknown
ক্ষেত্রগুলোতে	kh e t r O g u l O t e	unknown
ক্ষেত্রগুলোতেও	kh e t r o g u l O t e O	unknown
ক্ষেত্রগুলোর	kh e t r o g u l O r	unknown
ক্ষেত্রটা	kh e t o t r o T a	unknown
ক্ষেত্রটি	kh e t r O T i	unknown
ক্ষেত্রটিকে	kh e t r o T i k e	unknown
ক্ষেত্রটিতে	kh e t r O T i t e	unknown
ক্ষেত্রটির	kh e t r o T i r	unknown
ক্ষেত্রফল	kh e t r O ph o l	unknown
ক্ষেত্রবিশেশে	kh e t r O b i sh e sh e | kh e t r o b i sh e sh e	unknown
ক্ষেত্রবিশেশ	kh e t r o b i sh e sh	unknown
ক্ষেত্রভেদে	kh e t r o bh e d e	unknown
ক্ষেত্রমতে	kh e t r o m o t e	unknown
ক্ষেত্রসমুহ	kh e t r o sh o m u h o	unknown
ক্ষেত্রি	kh e t r i	unknown
ক্ষেত্রিপাড়া	kh e t o t r i p a r a	unknown
ক্ষেত্রে	kh e t r e	unknown
ক্ষেত্রেই	kh e t r e i	unknown
ক্ষেত্রেও	kh e t r e O	unknown
ক্ষেত্রের	kh e t r e r	unknown
ক্ষেদ	kh e d	unknown
ক্ষেপ	kh e p	unknown
ক্ষেপন	kh e p o i n | kh e p o n	unknown
ক্ষেপনাস্ত্র	kh e p o n a sh t r o | kh e p O n a sh t r O	unknown
ক্ষেপনাস্ত্রও	kh e p o n a sh t r o O	unknown
ক্ষেপনাস্ত্রগুলো	kh e p o n a sh t r o g u l O	unknown
ক্ষেপনাস্ত্রটি	kh e p o n a sh t o t r o T i | kh e p O n a sh t r O T i	unknown
ক্ষেপনাস্ত্রবিধ্বংসি	kh e p o n a sh t r o b i d dh o ng sh i	unknown
ক্ষেপনাস্ত্রে	kh e p o n a sh t r e	unknown
ক্ষেপনাস্ত্রের	kh e p o n a sh t o t r e r | kh e p O n a sh t r e r	unknown
ক্ষেপনের	kh e p o n e r	unknown
ক্ষেপলা	kh e p l a	unknown
ক্ষেপা	kh e p a	unknown
ক্ষেপিয়ে	kh e p i y e	unknown
ক্ষেপে	kh e p e	unknown
ক্ষেপেছেন	kh e p e chh e n	unknown
ক্ষেপ্তা	kh e p t a	unknown
ক্ষেম	kh e m o	unknown
ক্ষেমা	kh e m a kh A m a	unknown
ক্ষেস্সাপাত	kh e sh sh a p a t	unknown
খে	kh e	unknown
খেকশিয়াল	kh A k o sh i y a l kh e k	unknown
খেকারি	kh e k a r i	unknown
খেচ	kh e ch	unknown
খেচাখেচি	kh A ch a kh e ch i	unknown
খেচে	kh e ch e h a O y a	unknown
খেচড়া	kh A ch r a	unknown
খেট	kh e T	unknown
খেদা	kh e d a | kh e d a kh A	unknown
খেসারি	kh e sh a r i	unknown
খেড়ু	kh e r u	unknown
খেড়ো	kh e r O	unknown
খেংরা	kh e ng r a	unknown
খেই	kh e i	unknown
খেওয়া	kh e O y a	unknown
খেচকা	kh A ch k a	unknown
খেজমত	kh e j m o t	unknown
খেজুর	kh e j u r	unknown
খেজুরও	kh e j u r O	unknown
খেজুরগাছ	kh e j u r g a chh	unknown
খেজুরগাছের	kh e j u r g a chh e r	unknown
খেজুরতল	kh e j u r t o l	unknown
খেজুরপাতার	kh e j u r p a t a r	unknown
খেজুরবাগ	kh e j u r b a g	unknown
খেজুরে	kh e j u r e	unknown
খেজুরেও	kh e j u r e O	unknown
খেজুরের	kh e j u r e r	unknown
খেজের	kh e j e r	unknown
খেটক	kh e T o k	unknown
খেটে	kh e T e	unknown
খেটেখাওয়া	kh e T e kh a O y a	unknown
খেটেখুটে	kh e T e kh u T e	unknown
খেটেছি	kh e T e chh i	unknown
খেটেছিলেন	kh e T e chh i l e n	unknown
খেটেছে	kh e T e chh e	unknown
খেটেছেন	kh e T e chh e n	unknown
খেটেল	kh e T e l	unknown
খেত	kh e t	unknown
খেতখামার	kh e t kh a m a r	unknown
খেতখামারে	kh e t kh a m a r e	unknown
খেতমজুর	kh e t m o j u r	unknown
খেতাব	kh e t a b	unknown
খেতাবও	kh e t a b O	unknown
খেতাবটা	kh e t a b T a	unknown
খেতাবটি	kh e t a b T i	unknown
খেতাবধারি	kh e t a b dh a r i	unknown
খেতাবপ্রাপ্ত	kh e t a b p r a p t O	unknown
খেতাবে	kh e t a b e	unknown
খেতাম	kh e t a m	unknown
খেতি	kh e t i	unknown
খেতে	kh e t e	unknown
খেতেই	kh e t e i	unknown
খেতেও	kh e t e O	unknown
খেতেন	kh e t e n	unknown
খেতের	kh e t e r	unknown
খেদ	kh e d	unknown
খেদংগ	kh e d o ng g O	unknown
খেদমত	kh e d m o t	unknown
খেদমতে	kh e d m o t e	unknown
খেদাও	kh e d a O	unknown
খেদিত	kh e d i t	unknown
খেদিব	kh e d i b	unknown
খেদিরা	kh e d i r a	unknown
খেদিরার	kh e d i r a r	unknown
খেদিয়ে	kh e d i y e	unknown
খেদের	kh e d e r	unknown
খেদোক্তি	kh e d O k t i	unknown
খেন	kh A n	unknown
খেপ	kh e p	unknown
খেপানোর	kh e p a n O r	unknown
খেপিয়ে	kh e p i y e	unknown
খেপুপাড়ায়	kh e p u p a r a y o	unknown
খেপে	kh e p e	unknown
খেপেছে	kh e p e chh e	unknown
খেপেছেন	kh e p e chh e n	unknown
খেম	kh e m O	unknown
খেমার	kh e m a r	unknown
খেমাররুজ	kh e m a r r u j	unknown
খেমি	kh e m i	unknown
খেজাব	kh e j a b	unknown
খের	kh e r	unknown
খেরেস্তান	kh e r e sh t a n	unknown
খেরো	kh e r O	unknown
খেরোখাতার	kh e r O kh a t a r	unknown
খেরোখাতায়	kh e r O kh a t a y	unknown
খেল	kh e l	unknown
খেলওয়াত	kh e l o O y a t	unknown
খেলছ	kh e l o chh	unknown
খেলছি	kh e l chh i	unknown
খেলছিল	kh e l chh i l O	unknown
খেলছিলাম	kh e l chh i l a m	unknown
খেলছিলেন	kh e l chh i l e n	unknown
খেলছে	kh e l chh e	unknown
খেলছেও	kh e l chh e O	unknown
খেলছেন	kh e l chh e n o	unknown
খেলত	kh e l t O	unknown
খেলতাম	kh e l t a m	unknown
খেলতে	kh e l t e	unknown
খেলতেই	kh e l t e i	unknown
খেলতেও	kh e l t e O	unknown
খেলতেন	kh e l t e n	unknown
খেলতেনও	kh e l t e n O	unknown
খেলন	kh e l O n	unknown
খেলনা	kh A l n a	unknown
খেলনাপাতি	kh e l n a p a t i	unknown
খেলনার	kh A l n a r	unknown
খেলব	kh e l b O	unknown
খেলবই	kh e l b o i	unknown
খেলবে	kh e l b e	unknown
খেলবেন	kh e l b e n	unknown
খেলবেনই	kh e l b e n i	unknown
খেলবো	kh e l b O	unknown
খেলল	kh e l l O	unknown
খেললাম	kh e l l a m	unknown
খেললে	kh e l l e	unknown
খেললেই	kh e l l e i	unknown
খেললেও	kh e l l e O	unknown
খেললেন	kh e l l e n	unknown
খেললো	kh e l l O	unknown
খেলা	kh e l a	unknown
খেলাই	kh A l a i	unknown
খেলাও	kh A l a O	unknown
খেলাকে	kh e l a k e	unknown
খেলাকেই	kh e l a k e i	unknown
খেলাগাড়ি	kh e l a g a r i	unknown
খেলাগুলো	kh A l a g u l O	unknown
খেলাগুলোতে	kh e l a g u l O t e	unknown
খেলাগুলোর	kh e l a g u l O r	unknown
খেলাঘর	kh A l a gh o r	unknown
খেলাঘরে	kh e l a gh o r e	unknown
খেলাঘরের	kh e l a gh o r e r	unknown
খেলাচ্ছলে	kh e l a ch chh o l e	unknown
খেলাচ্ছে	kh A l a ch chh e	unknown
খেলাটা	kh A l a T a	unknown
খেলাটাই	kh A l a T a i	unknown
খেলাটাও	kh A l a T a O	unknown
খেলাটাকে	kh A l a T a k e	unknown
খেলাটাকেই	kh e l a T a k e i	unknown
খেলাটার	kh A l a T a r	unknown
খেলাটায়	kh e l a T a y o	unknown
খেলাটি	kh A l a T i	unknown
খেলাটিই	kh e l a T i i	unknown
খেলাটিকে	kh A l a T i k e	unknown
খেলাটিতে	kh A l a T i t e	unknown
খেলাটির	kh A l a T i r	unknown
খেলাত	kh e l a t	unknown
খেলাতে	kh A l a t e	unknown
খেলাতেই	kh A l a t e i	unknown
খেলাতেও	kh A l a t e O	unknown
খেলাধুলা	kh A l a dh u l a	unknown
খেলাধুলাও	kh e l a dh u l a O	unknown
খেলাধুলাকে	kh e l a dh u l a k e	unknown
খেলাধুলাতেও	kh e l a dh u l a t e O	unknown
খেলাধুলাবিশয়ক	kh e l a dh u l a b i sh o y o k	unknown
খেলাধুলার	kh A l a dh u l a r	unknown
খেলাধুলাশহ	kh e l a dh u l a sh o h o	unknown
খেলাধুলায়	kh e l a dh u l a y o	unknown
খেলাধুলায়ও	kh e l a dh u l a y o O	unknown
খেলান	kh e l a n	unknown
খেলানো	kh A l a n O	unknown
খেলানোটা	kh e l a n O T a	unknown
খেলানোর	kh A l a n O r	unknown
খেলাপ	kh e l a p	unknown
খেলাপাগল	kh A l a p a g O l	unknown
খেলাপি	kh e l a p i	unknown
খেলাপিতে	kh e l a p i t e	unknown
খেলাপিদের	kh e l a p i d e r	unknown
খেলাপির	kh e l a p i r	unknown
খেলাপিরিন	kh e l a p i r i n	unknown
খেলাপিরিনের	kh e l a p i r i n e r	unknown
খেলাফত	kh e l a ph o t	unknown
খেলাফতে	kh e l a ph o t e	unknown
খেলাফতের	kh e l a ph o t e r	unknown
খেলাব	kh e l a b	unknown
খেলাবিহিন	kh e l a b i h i n	unknown
খেলাবেন	kh e l a b e n	unknown
খেলাম	kh e l a m	unknown
খেলার	kh A l a r	unknown
খেলারই	kh e l a r i	unknown
খেলারও	kh A l a r O	unknown
খেলারাম	kh e l a r a m	unknown
খেলালে	kh e l a l e	unknown
খেলালেন	kh e l a l e n	unknown
খেলায়	kh A l a y o	unknown
খেলায়ই	kh e l a y i	unknown
খেলায়ও	kh e l a y O	unknown
খেলি	kh e l i	unknown
খেলিনি	kh e l i n i	unknown
খেলিয়ে	kh e l i y e	unknown
খেলিয়েই	kh e l i y e i	unknown
খেলিয়েছে	kh e l i y e chh e	unknown
খেলিয়েছেন	kh e l i y e chh e n	unknown
খেলুক	kh e l u k	unknown
খেলুন	kh e l u n	unknown
খেলুড়ে	kh e l u r e	unknown
খেলুয়া	kh e l u y a	unknown
খেলে	kh e l e	unknown
খেলেই	kh e l e i	unknown
খেলেও	kh e l e O	unknown
খেলেছ	kh e l e chh o	unknown
খেলেছি	kh e l e chh i	unknown
খেলেছিল	kh e l e chh i l O	unknown
খেলেছিলাম	kh e l e chh i l a m	unknown
খেলেছিলেন	kh e l e chh i l e n	unknown
খেলেছে	kh e l e chh e	unknown
খেলেছেন	kh e l e chh e n	unknown
খেলেন	kh A l e n	unknown
খেলেননি	kh e l e n n i	unknown
খেলেনা	kh e l e n a	unknown
খেলেনি	kh A l e n i	unknown
খেলো	kh e l O	unknown
খেলোয়াড়	kh A l O a r	unknown
খেলোয়াড়বিশিশ্ট	kh e l O a r b i sh i sh T O	unknown
খেলোয়াৎ	kh e l O y a t	unknown
খেলোয়াড়	kh e l O y a r	unknown
খেলোয়াড়ই	kh e l O y a r i	unknown
খেলোয়াড়ও	kh e l O y a r O	unknown
খেলোয়াড়কে	kh e l O y a r k e	unknown
খেলোয়াড়কেই	kh e l O y a r k e i	unknown
খেলোয়াড়কেও	kh e l O y a r k e O	unknown
খেলোয়াড়টি	kh e l O y a r T i	unknown
খেলোয়াড়টির	kh e l O y a r T i r	unknown
খেলোয়াড়দের	kh e l O y a r d e r	unknown
খেলোয়াড়দেরই	kh e l O y a r d e r i	unknown
খেলোয়াড়দেরও	kh e l O y a r d e r O	unknown
খেলোয়াড়রা	kh e l O y a r r a	unknown
খেলোয়াড়শহ	kh e l O y a r sh o h o	unknown
খেলোয়াড়সুলভ	kh e l O y a r sh u l o bh	unknown
খেলোয়াড়ি	kh e l O y a r i	unknown
খেলোয়াড়ে	kh e l O y a r e	unknown
খেলোয়াড়ের	kh e l O y a r e r	unknown
খেলোয়াড়েরই	kh e l O y a r e r i	unknown
খেলোয়াড়েরা	kh e l O y a r e r a	unknown
খেলোয়াড়েরাই	kh e l O y a r e r a i	unknown
খেলোয়াড়েরাও	kh e l O y a r e r a O	unknown
খেশ	kh e sh	unknown
খেসট	kh e sh o T	unknown
খেসার	kh e sh a r	unknown
খেসারত	kh e sh a r O t	unknown
খেসারতও	kh e sh a r o t O	unknown
খেসারতের	kh e sh a r o t e r	unknown
খেসারির	kh e sh a r i r	unknown
খেসালা	kh e sh a l a	unknown
খেড়	kh e r	unknown
খেড়ুয়া	kh e r u y a	unknown
খেয়া	kh e y a	unknown
খেয়াঘাট	kh e y a gh a T	unknown
খেয়াঘাটটি	kh e y a gh a T T i	unknown
খেয়াঘাটসংলগ্ন	kh e y a gh a T sh o ng l o n g o	unknown
খেয়াঘাটে	kh e y a gh a T e	unknown
খেয়াঘাটের	kh e y a gh a T e r	unknown
খেয়াতি	kh e y a t i	unknown
খেয়াজান	kh e y a j a n	unknown
খেয়াজানের	kh e y a j a n e r	unknown
খেয়াল	kh e a l	unknown
খেয়ালই	kh e y a l i	unknown
খেয়ালও	kh e y a l O	unknown
খেয়ালখুশি	kh e y a l kh u sh i	unknown
খেয়ালখুশিমতো	kh e y a l kh u sh i m o t O	unknown
খেয়ালখুশির	kh e y a l kh u sh i r	unknown
খেয়ালি	kh e y a l i	unknown
খেয়ালে	kh e y a l e	unknown
খেয়ালের	kh e y a l e r	unknown
খেয়ে	kh e y e	unknown
খেয়েই	kh e y e i	unknown
খেয়েও	kh e y e O	unknown
খেয়েছ	kh e y e chh o	unknown
খেয়েছি	kh e y e chh i	unknown
খেয়েছিল	kh e y e chh i l o	unknown
খেয়েছিলাম	kh e y e chh i l a m	unknown
খেয়েছিলেন	kh e y e chh i l e n	unknown
খেয়েছে	kh e y e chh e	unknown
খেয়েছেন	kh e y e chh e n	unknown
খেয়েদেয়ে	kh e y e d e y e	unknown
খেয়েপরে	kh e y e p o r e	unknown
খেয়ো	kh e y O	unknown
খেয়োখেয়ি	kh e y O kh e y i	unknown
গে	g e	unknown
গেজলা	g e j l a	unknown
গেজেল	g e j e l	unknown
গেটে	g e T e	unknown
গেট্টাগোট্টা	g e T r a g O T r a	unknown
গেতো	g e t O	unknown
গেথে	g e th e	unknown
গেথেছে	g e th e chh e	unknown
গেদা	g e d a | g A d a	unknown
গেদে	g e d e b o sh a | g e d e	unknown
গেড়	g e r	unknown
গেড়ি	g e r i	unknown
গেড়ে	g e r e | g e r e b o sh a	unknown
গেড়ো	g e r O	unknown
গেয়ে	g e y e	unknown
গেয়ো	g e y O	unknown
গেংগানো	g e ng g a n O	unknown
গেইছে	g e i chh e	unknown
গেইট	g e i T	unknown
গেইটে	g e i T e	unknown
গেইটের	g e i T e r	unknown
গেইথনার	g e i th n a r	unknown
গেইন	g e i n	unknown
গেইম	g e i m	unknown
গেইমটি	g e i m T i	unknown
গেইমটিতে	g e i m T i t e	unknown
গেইমটির	g e i m T i r	unknown
গেইমস	g e i m sh	unknown
গেইমিং	g e i m i ng	unknown
গেইমের	g e i m e r	unknown
গেইর	g e i r	unknown
গেইল	g e i l	unknown
গেইলকে	g e i l k e	unknown
গেইলদের	g e i l d e r	unknown
গেইলরা	g e i l r a	unknown
গেইলের	g e i l e r	unknown
গেও	g e y O	unknown
গেওয়া	g e O y a	unknown
গেওয়ার	g e O y a r	unknown
গেওয়ালি	g e O y a l i	unknown
গেকো	g e k O	unknown
গেছ	g A chh O	unknown
গেছি	g A chh i	unknown
গেছিল	g e chh i l O	unknown
গেছিলাম	g e chh i l a m	unknown
গেছিলেন	g e chh i l e n	unknown
গেছিস	g e chh i sh	unknown
গেছে	g e chh e	unknown
গেছেই	g e chh e i	unknown
গেছেও	g e chh e O	unknown
গেছেন	g A chh e n	unknown
গেছো	g e chh O	unknown
গেজ	g e j	unknown
গেজেট	g e j e T	unknown
গেজেটও	g e j e T O	unknown
গেজেটগুলো	g e j e T g u l O	unknown
গেজেটগুলোর	g e j e T g u l O r	unknown
গেজেটটি	g e j e T T i	unknown
গেজেটভুক্ত	g e j e T bh u k t O	unknown
গেজেটে	g e j e T e	unknown
গেজেটেড	g e j e T e D	unknown
গেজেটের	g e j e T e r	unknown
গেজো	g A j O	unknown
গেঞ্জি	g e n j i	unknown
গেঞ্জিতে	g e n j i t e	unknown
গেঞ্জির	g e n j i r	unknown
গেট	g e T	unknown
গেটআপ	g e T a p	unknown
গেটআপে	g e T a p e	unknown
গেটওয়ে	g e T O y e	unknown
গেটওয়ের	g e T O y e r	unknown
গেটগুলো	g e T g u l O	unknown
