# word	respelling	converted_phonemes(may be incomplete)
সিরাতুন্নবি	শিরাতুন্নবি্	sh i r a t u n n o b i
সিলবেরি	শিল্বেরি্	sh i l b e r i
সিসিটি	সিসিটি্	sh i sh i T i
সিসে	সিসে্	sh i sh e
সুজিৎ	শুজিৎ	sh u j i
সুঠামদেহি	শুঠাম্দেহি্	sh u Th a m d e h i
সুজোগটাকেই	শুজোগ্টাকে্ই	sh u j O g T a k e i
সুহারিও	শুহারি্ও	sh u h a r i O
সেটিতেও	শেটিতে্ও	sh e T i t e O
সেতুটিও	শেতুটি্ও	sh e t u T i O
সেতুমন্ত্রি	শেতুমোন্্	sh e t u m O n
সেনাকর্মকর্তাদের	শেনাকর্মকর‌্তাদের্	sh e n a k o r m o k o r o t a d e r
সেমিনারেও	সেমিনারে্ও	sh e m i n a r e O
স্নায়ুকোশ	স্নায়ু্কোশ্	sh n a y u k O sh
স্নায়ুকোশের	স্নায়ু্কোশের্	sh n a y u k O sh e r
স্নায়ুক্ষয়ি	স্নায়ু্ক্খয়ি	sh n a y u k kh o y i
স্নায়ুচাপ	স্নায়ু্চাপ্	sh n a y u ch a p
স্নায়ুচাপে	স্নায়ু্চাপে	sh n a y u ch a p e
স্নায়ুতন্ত্র	স্নায়ু্তন্ত্র	sh n a y u t o n t r o
স্নায়ুতন্ত্রের	স্নায়ু্তন্ত্রের্	sh n a y u t o n t r e r
স্নায়ুতে	স্নায়ু্তে	sh n a y u t e
স্নায়ুজুদ্ধ	স্নায়ু্জুদ্ধ	sh n a y u j u d dh o
স্নায়ুজুদ্ধের	স্নায়ু্জুদ্ধের্	sh n a y u j u d dh e r
স্নায়ুর	স্নায়ু্র্	sh n a y u r
স্নায়ুরোগ	স্নায়ু্রোগ্	sh n a y u r O g
স্নায়ুরোগে	স্নায়ু্রোগে	sh n a y u r O g e
স্নায়ুরোগের	স্নায়ু্রোগের্	sh n a y u r O g e r
স্বরাশ্ট্রপ্রতিমন্ত্রি	শরাস্ট্রোপ্রোতিমোন্্	sh o r a sh T r O p r O t i m O n
হোই	প্রাবা.)[হোই	p r a b a h O i
