word	phoneme	tag
তদর্থ	t o d o r th O	native
তদর্থক	t o d o r th o k	native
তদর্পন	t o d o r p o n	native
তদসংলগ্ন	t o d o sh o ng l o g n O	native
তদ্	t o d	native
তদ্গত	t o d g o t O	native
তদ্বৎ	t o d b o	native
তদ্ভব	t o d bh o b	native
তন	t o n	native
তন্ডক	t o n D O k	native
তন্ত্র	t o n t r O	native
তন্ন	t o nn O	native
তন্নতন্ন	t o nn O t o nn O	native
তন্মন	t o n m o n	native
তন্ময়	t o n m o y	native
তনয়	t o n o y o	native
তপ	t o p O	native
তপন	t o p O n	native
তপ্ত	t o p t O	native
তব	t o b O	native
তবক	t o b O k	native
তবন	t o b O n	native
তবল	t o b O l	native
তবল্লক	t o b o l l o k	native
তম	t o m O	native
তমস	t o m O sh	native
তর	t o r O	native
তরংগ	t o r o ng g o	native
তরং্গ	t o r O ng g O	native
তরক	t o r k	native
তরঙ্গ	t o r O ngg O	native
তরণ	t O r O n	tatsama
তরতর	t o r t o r	native
তরন	t O r O n	native
তরপত	t o r p o t	native
তরপন্য	t o r o p o n n O	native
তরফ	t o r O ph	native
তরল	t o r O l	native
তরলং	t o r l o ng	native
তরস্ত	t o r O st O	native
তর্ক	t o r k O	native
তর্জন	t o r j O n	native
তর্পন	t o r p O n	native
তর–জল	j o r j o l	native
তর–তম	t o r O t o m O	native
তল	t o l	native
তলক	t o l O k	native
তলতল	t o l t o l	native
তলত্র	t o l O tr O	native
তলব	t o l O b	native
তলস্তয়	t o l o st o y o	native
তল্প	t o l p O	native
তল্ল	t o l l O	native
তশ্ট	t o sh T O	native
তসনস	t o sh n o sh	native
তসর	t o sh O r	native
তস্কর	t o s k o r	loanword
তস্ত	t o st O	native
তস্য	t o sh sh O	native
তহ	t o h	native
তহন	t o h O n	native
তহবন্দ	t o h b o nd O	native
ত্ব	t O	tatsama
ত্বক	t o k	tatsama
ত্বর	t o r	tatsama
ত্বরন	t o r O n	tatsama
ত্যক্ত	t A k t O	native
ত্যক্তলজ্জ	t A kt O l o j j O	native
ত্যজন	t A j O n	native
ত্র	tr O	native
ত্রসন	tr O sh O n	native
ত্রস্ত	tr O st O	native
ত্র্যংক	t r O ng k O	native
ত্র্যংশ	t r O ng sh O	native
ত্র্যক্ষর	t r O kkh O r	tatsama
ত্র্যম্বক	t r O mb o k	native
ত্র্যস্র	tr O s r O	native
ত্রয়	tr o y	native
তৎ	t o t	native
তৎপর	t o t p o r	native
তৎসংলগ্ন	t O t sh o ng l O g n O	native
তৎসম	t o t sh o m O	native
তৎসহ	t o t sh o h O	native
তড়	t o r	native
তড়তড়	t o r t o r	native
তয়	t o y	native
ত–খরচ	t o kh o r o ch	native
থ	th o	native
থক	th o k	native
থকথক	th o k th o k	native
থতমত	th o t O m o t O	native
থপ	th o p	native
থম	th o m	native
থমক	th o m O k	native
থমথম	th o m th o m	native
থমসন	th o m s o n	proper_noun
থম্পসন	th o mp s o n	proper_noun
থর	th o r	native
থরথর	th o r O th o r O	native
থর্প	th o r p O	native
থল	th o l	native
থলথল	th o l th o l	native
থসথস	th o sh th o sh	native
দ	d o	native
দং	d o ng	native
দংগল	d o ng g o l	native
দংশ	d o ng sh O	native
দংশক	d o ng sh O k	native
দংশন	d o ng sh O n	native
দংশ্ট্র	d o ng sh T r O	tatsama
দঃ	d o	tatsama
দক্ষ	d o kkh O	tatsama
দক্ষজজ্ঞ	d o kkh o j o g g O	tatsama
দখল	d o kh O l	native
দখলসহ	d o kh O l sh o h O	native
দখলস্বত্ব	d o kh o l sh o tt O	tatsama
দগদগ	d o g d o g	native
দগ্ধ	d o g dh O	native
দণ্ড	d o n D O	tatsama
দত	d o t O	native
দত্ত	d o tt O	native
দত্তক	d o tt O k	native
দত্তর	d o tt O r	native
দত্তসহ	d o tt o sh o h O	native
দধ্যম্ল	d O dh dh o m l O	native
দন	d o n	native
দন্ড	d o n D O	native
দন্ডক	d o n D O k	native
দন্ড্য	d O n D O	native
দন্ত	d o nt O	native
দন্তক	d o nt o k	native
দন্ত্য	d o nt O	native
দপ	d o p	native
দপদপ	d o p d o p	native
দপ্তর	d o p t O r	native
দপ্তরসহ	d o p t O r sh o h O	native
দপ্প	d o p p O	native
দপ্পন	d o p p o	native
দফ	d o ph	native
দফতর	d o ph t O r	native
দফন	d o ph o n	native
দব	d o b	native
দবজ	d o b o j	native
দম	d o m	native
দমক	d o m O k	native
দমকল	d o m k o l	native
দমদম	d o m d o m	native
দমন	d o m O n	native
দমনসহ	d o m o n sh o h O	native
দমবন্ধ	d o m b o ndh O	tatsama
দমসম	d o m sh o m	native
দম্প	d o mp O	native
দম্ফ	d o m ph O	native
দম্বল	d o mb o l	native
দম্ভ	d o m bh O	native
দম্য	d O m m O	native
দর	d o r	native
দরকসর	d o r k o sh o r	native
দরখ্ত	d o r o kh t O	native
দরদ	d o r O d	native
দরদর	d o r d o r	native
দরন	d o r O n	native
দরপতন	d o r p o t O n	native
দরপত্র	d o r p o tr O	native
দরবদর	d o r b o d o r	native
দরশ	d o r O sh	native
দরশন	d o r sh o n	native
দর্প	d o r p O	native
দর্পক	d o r p O k	native
দর্পন	d o r p O n	native
দর্ভ	d o r bh O	native
দর্শ	d o r sh O	native
দর্শক	d o r sh O k	native
দর্শন	d o r sh O n	native
দর্শনগত	d o r sh o n g o t o	native
দল	d o l	native
দলক	d o l o k	native
দলগত	d o l O g o t O	native
দলতন্ত্র	d o l t o n t r O	native
দলদল	d o l d o l	native
দলন	d o l O n	native
দলবদল	d o l b o d O l	native
দলবদ্ধ	d o l b o d dh O	tatsama
দলবল	d o l b o l	native
দলবলসহ	d o l b o l sh o h O	native
দলমত	d o l O m o t	native
দলমল	d o l m o l	native
দলম্মল	d o l O mm o l	native
দলসহ	d o l sh o h O	native
দশ	d o sh	native
দশক	d o sh O k	native
দশঘর	d o sh gh o r	native
দশজন	d o sh j o n	native
দশন	d o sh O n	native
দশম	d o sh O m	native
দশরথ	d o sh O r o th	native
দশ্ট	d o sh T O	native
দস	d o sh	native
দস্তক	d o st O k	native
দস্তখত	d o st O kh o t	native
দহন	d o h O n	native
দহর	d o h O r	native
দহরম	d o h O r o m	native
দহল	d o h O l	native
দহশত	d o h sh o t o	native
দ্বন্দ	d o nd O	native
দ্বন্দ্ব	d o n d O	native
দ্ব্যক্ষর	d d e kkh o r	tatsama
দ্ব্যর্থ	d A r th O	native
দ্ব্যর্থক	d A r th o k	native
দ্ব্যহ	d A h O	native
দ্বয়	d o y	native
দ্য	d a	native
দ্র	d r O	native
দ্রং	d r O ng	native
দ্রগড়	d r O g o r	native
দ্রব	d r O b O	native
দ্রবণ	d r O b O n	tatsama
দ্রবন	d r O b o n	native
দ্রব্য	d r O b b O	native
দ্রব্যসহ	d r O b b O sh o h O	native
দ্রশ্টব্য	d r O sh T O b b O	native
দড়	d o r	native
দড়বড়	d o r b o r	native
দয়	d o y	native
ধ	dh o	native
ধংস	dh o ng sh o	native
ধক	dh o k	native
ধকল	dh o k O l	native
ধট	dh o T	native
ধন	dh o n	native
ধনঞ্জয়	dh o n o nj o y	tatsama
ধনতন্ত্র	dh o n o t o n t r O	native
ধনসম্পদ	dh o n sh o mp o d	native
ধন্ড	d o n D O	native
ধন্ধ	dh o n d O	tatsama
ধন্ব	dh o n n O	native
ধন্য	dh O n n O	native
ধপ	dh o p	native
ধব	dh o b	native
ধবল	dh o b O l	native
ধম	dh o m	native
ধমক	dh o m O k	native
ধমন	dh o m O n	native
ধম্বন	dh o mb O n	native
ধম্ম	dh o mm O	native
ধর	dh o r	native
ধরণ	dh o r O n	tatsama
ধরত	dh O r t O	native
ধরন	dh o r o n	native
ধরব	dh O r b O	native
ধরম	dh o r O m	native
ধরল	dh O r l O	native
ধর্তব্য	dh o r t O b b O	native
ধর্ম	dh o r m O	native
ধর্মকর্ম	dh o r m O k o r m O	native
ধর্মগঞ্জ	dh o r m O g o nj	tatsama
ধর্মগ্রন্থ	dh o r m O gr O n th O	native
ধর্মগড়	dh o r m O g o r	native
ধর্মঘট	dh o r m O gh o T	native
ধর্মঘটসহ	dh o r m O gh o T sh o h O	native
ধর্মঘর	dh o r m O gh o r	native
ধর্মতত্ত্ব	dh o r m O t o t t O	tatsama
ধর্মদহ	dh o r m O d o h o	native
ধর্মবর্ন	dh o r m O b o r n O	native
ধর্মমত	dh o r m O m o t	native
ধর্মসহ	dh o r m O sh o h O	native
ধর্ম্ম	dh o r mm O	native
ধর্ম্য	dh o r m O	native
ধর্ষক	dh o r sh O k	tatsama
ধর্ষণসহ	dh o r sh O n sh o h O	tatsama
ধর্ষন	dh o r sh O n	tatsama
ধর্ষনসহ	dh o r sh o n sh o h O	tatsama
ধস	dh o sh	native
ধ্বংস	dh o ng sh O	native
ধ্বংসজজ্ঞ	dh o ng sh O j O g g O	tatsama
ধ্বংসসহ	dh o ng sh o sh o h O	tatsama
ধ্বজ	dh o j	tatsama
ধ্বনন	dh o n O n	tatsama
ধ্বস	dh o sh	tatsama
ধ্বসন	dh o sh o n	tatsama
ধ্বস্ত	dh o st O	tatsama
ধড়ফড়	dh o r ph o r	native
ধড়মড়	dh o r m o r	native
ন	n o	native
নং	n o ng	native
নক	n o k	native
নকর	n o k a r	native
নকল	n o k O l	native
নকলসহ	n o k o l sh o h O	native
নকশ	n o k sh O	native
নক্ত	n o kt O	native
নক্র	n o kr O	native
নক্ষত্র	n o kkh o tr O	tatsama
নখ	n o kh	native
নখর	n o kh O r	native
নগ	n o g O	native
নগজদল	n o g o j d o l	native
নগণ্য	n o g O n n O	tatsama
নগদ	n o g O d	loanword_nativized
নগন	n o g O n	native
নগন্য	n o g O n n O	native
নগন্যসংখ্যক	n o g o n n O sh o ng kh o k	native
নগর	n o g O r	native
নগরভবন	n o g O r bh o b O n	native
নগরসংলগ্ন	n o g O r sh o ng l o g n O	native
নগরসহ	n o g O r sh o h O	native
নগ্ন	n o g n O	native
নগ্নপদ	n o g n o p o d	native
নজর	n o j O r	native
নঞ্	n O y i	tatsama
নট	n o T	native
নটক	n o T o k o	native
নটন	n o T O n	native
নটবর	n o T o b o r	native
নটর	n o T O r	native
নঠ	n o Th O	native
নড্	n o D	native
নত	n o t O	native
নত্ব	n o tt O	tatsama
নথ	n o th	native
নদ	n o d	native
নদ্ধ	n o d dh O	tatsama
নধর	n o dh O r	native
নন	n o n	native
ননদ	n o n O d	native
ননদসহ	n o n o d sh o h O	native
ননস্টপ	n o n s T o p	loanword
নন্দ	n o nd O	native
নন্দন	n o nd O n	native
নন্দনতত্ত্ব	n o nd O n t o t t O	tatsama
নন্দ্য	n O nd O	native
নফর	n o ph O r	native
নফরৎ	n o ph o r o t	native
নফল	n o ph O l	native
নফস	n o ph s	loanword
নব	n o b O	native
নবজন্ম	n o b o j o n m O	native
নবত	n o b o t	native
নবতন	n o b O t o n	native
নবতর	n o b O t o r	native
নববংগ	n o b o b o ng g o	native
নববর্ষ	n o b O b o r sh O	tatsama
নববসন্ত	n o b O b o sh O nt O	native
নবম	n o b O m	native
নবরংগ	n o b o r o ng g o	native
নবরত্ন	n o b O r o t n O	native
নবলব্ধ	n o b o l o b dh O	native
নব্য	n O b b O	native
নবৎ	n o b o t	native
নমন	n o m O n	native
নমস্য	n o m O sh sh O	native
নম্বর	n o mb O r	native
নম্বরঃ	n o mb O r	tatsama
নম্বরপত্র	n o mb O r p o tr O	native
নম্বরফলক	n o mb o r ph o l o k	native
নম্বরসহ	n o mb O r sh o h O	native
নম্য	n o m m O	native
নম্র	n o m r O	native
নয়	n o y	native
নর	n o r O	native
নরক	n o r O k	native
নরটন	n o r T o n	native
নরম	n o r O m	loanword_nativized
নর্তক	n o r t O k	native
নর্তন	n o r t O n	native
নর্থ	n o r th	loanword
নর্দন	n o r d o n	native
নর্ম	n o r m O	native
নল	n o l	native
নলক	n o l O k	native
নলপত	n o l O p o t O	native
নলবল	n o l b o l	native
নশ্ট	n o sh T O	native
নশ্বর	n o sh sh o r	tatsama
নস	n o sh	native
নসব	n o sh o b	native
নস্কর	n o s k o r	loanword
নহর	n o h O r	native
ন্যস্ত	n A st O	native
নৎ	n o t	native
নড়	n o r	native
নড়চনড়	n o r ch o r	native
নড়চড়	n o r ch o r	native
নড়ন	n o r O n	native
নড়ল	n o r l o	native
নয়	n o y	native
নয়ছয়	n o y chh o y	native
নয়জন	n o y j o n	native
নয়জনসহ	n o y j o n sh o h O	native
নয়ন	n o y O n	native
নয়নসহ	n o y o n sh o h O	native
নয়নয়	n o y n o y	native
প	p o	native
পং	p o ng	native
পংক	p o ng k O	native
পংকজ	p o ng k O j	native
পক্ব	p o k k O	native
পক্ষ	p o kkh O	tatsama
পক্ষ্ম	p O kkh O	tatsama
পক্স	p o k s	loanword
পগ্গর	p o g g o r	native
পচ	p o ch	native
পচন	p o ch O n	native
পচপচ	p o ch p o ch	native
পচ্য	p O ch ch O	native
পছন্দ	p o chh O nd O	native
পছন্দক্রম	p o chh O nd O kr O m	native
পছন্দমত	p o chh O nd O m o t O	native
পছর	p o chh o r	native
পজংক	p O r j O ng k O	native
পঞ্চ	p o nch O	tatsama
পঞ্চগড়	p o nch O g o r	tatsama
পঞ্চগড়	p o nch o g o r	tatsama
পঞ্চগড়সহ	p o nch o g o r sh o h O	tatsama
পঞ্চদশ	p o nch O d o sh	tatsama
পঞ্চম	p o nch O m	tatsama
পঞ্চমত	p o nch O m o t O	tatsama
পঞ্চরত্ন	p o nch o r o t n O	tatsama
পঞ্চস্তম্ভ	p o nch o st o m bh O	tatsama
পঞ্জর	p o nj o r	tatsama
পট	p o T	native
পটপট	p o T p o T	native
পটল	p o T O l	native
পটস্থ	p o T O sth O	native
পটহ	p o T O h O	native
পট্ট	p o T T O	native
পট্টন	p o T T O n	native
পঠন	p o Th O n	native
পড়	p o r	native
পড়ছ	p O r chh O	native
পড়ত	p O r t O	native
পড়ন	p o r O n	native
পড়ন্ত	p o r O nt O	native
পড়ব	p O r b O	native
পড়ম	p o r O m	native
পড়ল	p O r l o	native
পণ	p o n	tatsama
পণ্য	p O n n O	tatsama
পত	p o t	native
পতংগ	p o t o ng g o	native
পতত্র	p o t O tr O	native
পতন	p o t O n	native
পতনময়	p o t o n m o y	native
পতপত	p o t p o t	native
পতর	p o t O r	native
পত্তন	p o tt O n	native
পত্তর	p o tt o r	native
পত্র	p o tr O	native
পতৎ	p o t o t	native
পথ	p o th	native
পথপ্রদর্শক	p o th pr O d O r sh O k	native
পথপ্রদর্শন	p o th pr O d o r sh o n	native
পথভ্রশ্ট	p o th O bh r O sh T O	native
পথসহ	p o th sh o h O	native
পথ্য	p O t th O	native
পদ	p o d	native
পদক	p o d O k	native
পদকসহ	p o d O k sh o h O	native
পদক্রম	p o d o kr O m	native
পদসহ	p o d O sh o h O	native
পদস্খলন	p o d o sh kh o l o n	native
পদস্থ	p o d O sth O	native
পদ্ম	p o d d O	native
পদ্মর	p o d d o r	tatsama
পদ্য	p O d d O	native
পন	p o n	native
পনব	p o n O b	native
পনস	p o n O sh	native
পন্ট	p o n T	loanword
পন্ড	p o n D O	native
পন্ডশ্রম	p o n D o s r O m	native
পন্ডস	p o n D sh	proper_noun
পন্ত	p o nt O	native
পন্থ	p o n th O	native
পন্নগ	p o nn o g	native
পন্য	p O n n O	native
পন্যদ্রব্য	p o n n o d r O b b O	native
পন্যসহ	p O n n O sh o h O	native
পপ	p o p	native
পপকর্ন	p o p k o r n	loanword
পবন	p o b O n	native
পবনসহ	p o b o n sh o h O	native
পম্প	p o mp O	native
পয়	p o y O	native
পয়জন	p o y j o n	native
পয়দল	p o y d o l	native
পয়মন্ত	p o y m o nt O	native
পয়স্য	p o y O sh sh O	native
পর	p o r	native
পরক	p o r O k	native
পরখ	p o r O kh	native
পরচ্ছন্দ	p o r O ch chh o nd O	native
পরজ	p o r O j	native
পরঞ্জয়	p o r O nj o y	tatsama
পরত	p O r t O	native
পরতঃ	p o r o t o h	tatsama
পরতন্ত্র	p o r O t o n t r O	native
পরতল	p o r t o l	native
পরত্র	p o r O tr O	native
পরধন	p o r O dh o n	native
পরধর্ম	p o r O dh o r m O	native
পরন	p o r O n	native
পরন্তপ	p o r O nt o p	native
পরপদ	p o r O p o d	native
পরপর	p o r p o r	native
পরব	p o r o b	native
পরবত	p o r b o t	native
পরবন্ধ	p o r b O ndh O	tatsama
পরবশ	p o r O b o sh	native
পরব্রত	p o r o br O t	native
পরব্রহ্ম	p o r O br O m h O	tatsama
পরম	p o r O m	native
পরমং	p o r o m o ng	native
পরমত	p o r O m o t	native
পরমব্রত	p o r O m br O t O	native
পরমব্রতর	p o r O m br O t O r	native
পরমহংস	p o r O m h o ng sh O	native
পরম্পর	p o r O mp o r	native
পরল	p O r l O	native
পরশ	p o r O sh	native
পরশ্ব	p o r O sh sh O	tatsama
পরসংগ	p o r sh o ng g O	native
পরস্পর	p o r O s p o r	loanword
পরস্ব	p o r O sh sh O	tatsama
পর্ন	p o r n	loanword
পর্পট	p o r p o T	native
পর্ব	p o r b O	native
পর্বত	p o r b O t	native
পর্ব্বত	p o r b O t	native
পর্য	p o r j O	native
পর্যটক	p o r j o T o k	native
পর্যটকসহ	p o r j O T o k sh o h O	native
পর্যটন	p o r j O T O n	native
পর্যটননগর	p o r j o T o n n o g O r	native
পর্যটনবর্ষ	p o r j o T o n b o r sh O	tatsama
পর্যটনসহ	p o r j o T o n sh o h O	native
পর্যন্ত	p O r j O nt O	native
পর্যসন	p O r o j O sh o n	native
পর্যস্ত	p O r j O st O	native
পর্য্যন্ত	p O r j O nt O	native
পর্ষদ	p o r sh O d	tatsama
পর্ষৎ	p o r sh o t	tatsama
পল	p o l	native
পলক	p o l O k	native
পলটন	p o l T o n	native
পলমল	p o l m o l	native
পলল	p o l o l l O	native
পল্টন	p o l T O n	native
পল্বল	p o l l o l	native
পল্যংক	p O l l O ng k O	native
পল্লব	p o l l O b	native
পশম	p o sh O m	loanword_nativized
পশ্ট	p o sh T O	native
পশ্বধম	p O sh sh O dh o m	tatsama
পসন্দ	p o sh o nd O	native
পসন্ন	p o sh o nn O	native
পহর	p o h o r	native
পহলব	p o h O l o b	native
প্ত	p t O	native
প্যন্ট	p A n T	loanword
প্র	pr O	native
প্রকট	pr O k o T	native
প্রকটতর	pr O k o T t o r o	native
প্রকর	pr O k o r	native
প্রকরন	pr O k o r o n	native
প্রকর্ষ	pr O k o r sh O	tatsama
প্রকর্ষন	pr O k o r sh O n	tatsama
প্রকল্প	pr O k O l p O	native
প্রকল্পসংলগ্ন	pr O k o l p o sh o ng l o g n O	compound
প্রকল্পসহ	pr O k o l p O sh O h O	native
প্রক্টর	pr O k T o r	native
প্রক্টরসহ	pr O k T o r sh o h O	native
প্রখর	pr O kh o r	native
প্রগত	pr O g o t O	native
প্রগন্ড	pr O g o n D O	native
প্রগমন	pr O g o m O n	native
প্রগলভ	pr O g o l o bh	native
প্রগল্ভ	pr O g o l bh O	native
প্রচ	pr O ch	native
প্রচন্ড	pr O ch o n D O	native
প্রচল	pr O ch o l	native
প্রচলন	pr O ch O l O n	native
প্রচ্ছদ	pr O ch chh o d	native
প্রচ্ছদসহ	pr O ch chh o d sh o h O	native
প্রচ্ছন্ন	pr O ch chh o nn O	native
প্রজ	pr O j	native
প্রজত	pr O j o t O	native
প্রজত্ন	pr O j o t n O	native
প্রজন	pr O j o n	native
প্রজনন	pr O j O n o n	native
প্রজননক্ষম	pr O j O n o n o kkh o m	tatsama
প্রজন্ম	pr O j o n m O	native
প্রজন্মসহ	pr O j o n m o sh o h O	native
প্রজ্জ্বলন	pr O j j O l o n	tatsama
প্রজ্বলন	pr O j j o l O n	tatsama
প্রতপ্ত	pr O t o p t O	native
প্রতর্ক	pr O t o r k O	native
প্রত্ন	pr O t n O	native
প্রত্নতত্ত্ব	pr O t n O t o t t O	tatsama
প্রত্নসম্পদ	pr O t n O sh o mp o d	native
প্রত্য	pr O t t O	native
প্রত্যংগ	pr O t t o ng g O	native
প্রত্যক্ষ	pr O t t O kkh O	tatsama
প্রত্যক্ষকরন	pr O t t O kkh O k o r o n	tatsama
প্রত্যক্ষন	pr O t t O kkh O n	tatsama
প্রত্যন্ত	pr O t t o nt O	native
প্রত্যবয়ব	pr O t t O b o y o b	native
প্রত্যর্পণ	pr O t t o r p o n	tatsama
প্রত্যর্পন	pr O t t o r p o n	native
প্রত্যহ	pr O t t O h O	native
প্রত্যয়	pr O t t o y	native
প্রত্যয়ন	pr O t t O y n	native
প্রত্যয়নপত্র	pr O t t O y n p o tr O	native
প্রথম	pr O th O m	native
প্রথমজন	pr O th O m j O n	native
প্রথমত	pr O th O m o t O	native
প্রথমতঃ	pr O th O m o t O	tatsama
প্রথমপত্র	pr O th O m p o tr O	native
প্রদত্ত	pr O d o tt O	native
প্রদর	pr O d o r	native
প্রদর্শক	pr O d O r sh O k	native
প্রদর্শন	pr O d o r sh o n	native
প্রদর্শনসহ	pr O d o r sh O n sh o h O	native
প্রন	pr O n	native
প্রনত	pr O n o t O	native
প্রনব	pr O n o b	native
প্রনশ্ট	pr O n o sh T O	native
প্রনয়	pr O n o y	native
প্রনয়ন	pr O n o y o n	native
প্রনয়নসহ	pr O n o y o n sh o h O	native
প্রপঞ্চ	pr O p o nch O	tatsama
প্রপতন	pr O p o t O n	native
প্রপন্ন	pr O p o nn O	native
প্রবংশ	pr O b o ng sh O	native
প্রবচন	pr O b O ch o n	native
প্রবঞ্চক	pr O b o nch o k	tatsama
প্রবন	pr O b O n	native
প্রবন্ধ	pr O b O ndh O	tatsama
প্রবন্ধগ্রন্থ	pr O b o ndh O gr O n th O	compound
প্রবর	pr O b o r	native
প্রবর্ত	pr O b o r t O	native
প্রবর্তক	pr O b o r t O k	native
প্রবর্তন	pr O b O r t O n	native
প্রবল	pr O b o l	native
প্রবলতর	pr O b o l o t o r	native
প্রবসন	pr O b o sh O n	native
প্রবহ	pr O b o h O	native
প্রভঞ্জন	pr O bh o nj O n	tatsama
প্রভব	pr O bh o b	native
প্রমত্ত	pr O m O tt O	native
প্রমথ	pr O m O th	native
প্রমথন	pr O m o th O n	native
প্রম্পট	pr O mp T	native
প্রলপন	pr O l O p o n	native
প্রলম্ব	pr O l O mb O	native
প্রলয়	pr O l o y	native
প্রশংসন	pr O sh o ng sh o n	native
প্রশমন	pr O sh O m o n	native
প্রশস্ত	pr O sh o st O	native
প্রশস্তকরন	pr O sh o st O k o r o n	native
প্রশস্তকরনসহ	pr O sh o st O k o r o n sh o h O	native
প্রশস্ততর	pr O sh o st O t o r O	native
প্রশস্য	pr O sh O sh sh O	native
প্রশ্টব্য	pr O sh T O b b O	native
প্রশ্ন	pr O sh n O	native
প্রশ্নপত্র	pr O sh n O p o tr O	native
প্রশ্নপত্রসহ	pr O sh n O p o tr O sh o h O	native
প্রশ্নসহ	pr O sh n O sh o h O	native
প্রশ্রয়	pr O s r o y	native
প্রসংগ	pr O sh o ng g O	native
প্রসংগত	pr O sh o ng g t O	native
প্রসক্ত	pr O sh o kt O	native
প্রসঞ্জন	pr O sh o nj o n	tatsama
প্রসন্ন	pr O sh o nn O	native
প্রসন্নর	pr O sh o nn O r	native
প্রসব	pr O sh O b	native
প্রসর	pr O sh o r	native
প্রসর্পন	pr O sh o r p O n	native
প্রস্ত	pr O st O	native
প্রস্তত	pr O st u t	native
প্রস্তর	pr O st o r	native
প্রস্থ	pr O sth O	native
প্রস্রবন	pr O s r O b o n	native
প্রহত	pr O h o t O	native
প্রহর	pr O h o r	native
প্রহরন	pr O h o r o n	native
প্রহসন	pr O h O sh o n	native
প্র্রথম	p r r O th o m	native
প্লক্ষ	p l O kkh O	tatsama
প্লট	p l o T	loanword
প্লব	p l O b O	loanword
ফ	ph o	native
ফক	ph o k	native
ফকফক	ph o k ph o k	native
ফকর	ph o k o r	native
ফক্স	ph o k s	loanword
ফক্সকন	ph o k s k o n	loanword
ফখর	ph o kh o r	native
ফগ	ph o g	native
ফচফচ	ph o ch ph o ch	native
ফজর	ph o j O r	native
ফজল	ph o j o l	native
ফট	ph o T	loanword
ফটক	ph o T O k	native
ফটকসংলগ্ন	ph o T O k sh o ng l o g n O	native
ফটকসহ	ph o T O k sh o h O	native
ফড়	ph o r	native
ফড়ফড়	ph o r ph o r	native
ফন	ph o n	native
ফনম	ph o n m	native
ফন্ট	ph o n T	loanword
ফয়	ph o y	native
ফয়সল	ph o y sh o l	native
ফর	ph o r	native
ফরক	ph o r o k	native
ফরজ	ph o r O j	native
ফরফর	ph o r ph o r	native
ফরম	ph o r m	loanword
ফরমসহ	ph o r m sh o h O	native
ফর্ক	ph o r k	loanword
ফর্দ	ph o r d O	native
ফর্ম	ph o r m	loanword
ফল	ph o l	native
ফলংগ	ph o l O ng g O	native
ফলক	ph o l O k	native
ফলজ	ph o l O j O	native
ফলত	ph O l t O	native
ফলদ	ph o l O d	native
ফলন	ph o l O n	native
ফলন্ত	ph o l o nt O	native
ফলল	ph o l o l	native
ফলস	ph o l s	loanword
ফলসহ	ph o l sh o h O	native
ফলস্	ph o l o sh	native
ফল্ট	ph o l T	loanword
ফস	ph o sh	native
ফসল	ph o sh O l	native
ফ্রক	ph r O k	loanword
ফ্রজন্দ	ph r O j o nd a	loanword
ফ্রন	ph r O n	loanword
ফ্রন্ট	ph r O n T	loanword
ফ্রম	ph r O m	loanword
ফ্রস্ট	ph r O s T	loanword
ফ্লপ	ph l o p	loanword
ফ্লস	ph l o s	loanword
ব	b o	native
বং	b o ng	native
বংক	b o ng k O	native
বংগ	b o ng g O	native
বংগজ	b o ng g o j	native
বংগদর্শন	b o ng g o d o r sh o n	native
বংগভংগ	b o ng g o bh o ng g o	native
বংগভবন	b o ng g o bh o b o n	native
বংশ	b o ng sh O	native
বংশগত	b o ng sh O g O t O	native
বংশধর	b o ng sh O dh o r	native
বংশবদ	b o ng sh O b o d O	native
বংশ্য	b o ng sh sh O	native
বঃ	b o h	tatsama
বক	b o k	native
বকচর	b o k ch o r	native
বকজন্ত্র	b o k j o n t r O	native
বকবক	b o k b o k	native
বকম	b o k o m	native
বকর	b o k o r	native
বকরসহ	b o k o r sh o h O	native
বকলম	b o k o l O m	native
বকলশ	b o k l o sh	native
বকশ	b o k sh o	native
বকস	b o k sh o	native
বক্কর	b o k k O r	native
বক্তব্য	b o kt O b b O	native
বক্তব্যসহ	b o kt o b b o sh o h O	native
বক্ত্র	b o k t r O	native
বক্র	b o kr O	native
বক্ষ	b o kkh O	tatsama
বক্স	b o k s	loanword
বখত	b o kh o t	native
বখশ	b o kh sh	native
বখস	b o kh sh	native
বখ্ত	b o kh t O	loanword_nativized
বখ্শ	b o kh sh O	native
বখ্স	b o kh sh O	loanword_nativized
বগ	b o g	native
বগয়রহ	b o g o y r o h	native
বগল	b o g O l	native
বগলস	b o g o l sh	native
বগস	b o g sh	native
বঙ্গ	b o ngg O	native
বঙ্গজ	b o ngg O j	native
বচ	b o ch O	native
বচন	b o ch O n	native
বচ্চন	b o ch ch o n	native
বচ্ছর	b o ch chh o r	native
বছর	b o chh O r	native
বছরসহ	b o chh o r sh o h O	native
বজ	b o j	native
বজবজ	b o j b o j	native
বজর	b o j o r	native
বজরং	b o j r o ng	native
বজল	b o j o l	native
বজ্র	b o j r O	native
বজ্রকন্ঠ	b o j r O k o n Th O	native
বজ্রঝড়	b o j r O jh o r o	native
বজ্রসহ	b o j r O sh o h O	native
বঞ্চক	b o nch o k	tatsama
বঞ্চন	b o nch o n	tatsama
বঞ্চব	b o nch o b O	tatsama
বঞ্চহ	b o nch o h	tatsama
বট	b o T	native
বটক	b o T O k	native
বটম	b o T o m	native
বড	b o D	native
বড়	b o r O	native
বড়দল	b o r o d o l	native
বড়বড়	b o r b o r	native
বড়সড়	b o r o sh o r o	native
বড়হর	b o r O h o r	native
