word	phoneme	tag
কিশোরিগঞ্জ	k i sh O r i g o nj	tatsama
কিয়স্ক	k i y o s k o	loanword
কীবোর্ড	k i b O r D	native
কীর্তিস্তম্ভ	k i r t i st O m bh O	native
কুইন্স	k u i n s	loanword
কুইন্সল্যান্ড	k u i n s l A n D	loanword
কুকর্ম	k u k o r m O	native
কুখাদ্য	k u kh a d d o	native
কুচক্র	k u ch o kr O	native
কুচরিত্র	k u ch O r i tr O	native
কুচাগ্র	k u ch a g gr O	native
কুঞ্জ	k u nj O	tatsama
কুটতর্ক	k u T o t o r k o	native
কুটস্থ	k u T o sth O	native
কুটার্থ	k u T a r th O	native
কুটিরশিল্প	k u T i r sh i l p O	native
কুটুম্ব	k u T u mb o	native
কুতর্ক	k u t o r k O	native
কুদ্স	k u d s	native
কুন্ঠ	k u n Th O	native
কুন্ড	k u n D O	native
কুন্ত	k u nt O	native
কুন্দ	k u nd O	native
কুপথ্য	k u p O t th O	native
কুপরামর্শ	k u p o r a m o r sh O	native
কুপাত্র	k u p a tr O	native
কুপুত্র	k u p u tr O	native
কুপোশ্য	k u p O sh sh O	native
কুপ্য	k u p p O	native
কুবিন্দ	k u b i nd O	native
কুব্জ	k u b j O	native
কুম্ভ	k u m bh O	native
কুম্ভকর্ন	k u m bh O k o r n O	native
কুরুক্ষেত্র	k u r u kh e tr O	tatsama
কুরুচিপুর্ন	k u r u ch i p u r n O	native
কুরুবিন্দ	k u r u b i nd O	native
কুর্চ	k u r ch O	native
কুর্ট	k u r T	proper_noun
কুর্ম	k u r m O	native
কুলগ্ন	k u l o g n O	native
কুলত্থ	k u l o t th O	native
কুলম্ব	k u l o mb O	native
কুলাচার্য	k u l a ch a r o j O	native
কুশাগ্র	k u sh a g gr O	native
কুশ্ঠ	k u sh Th o	native
কুষ্ঠ	k u shTh O	tatsama
কুসংসর্গ	k u sh o ng sh o r g O	native
কুসংস্কারমুক্ত	k u sh o ng s k a r m u kt o	loanword
কুসংস্কারাচ্ছন্ন	k u sh o ng s k a r a ch chh O nn O	loanword
কুসুমাস্তির্ন	k u sh u m a st i r n o	compound
কুস্বপ্ন	k u sh o p n O	tatsama
কুৎসাপুর্ন	k u t sh a p u r n o	native
কুৎস্য	k u t sh sh o	native
কুয়াকাটাসংলগ্ন	k u y a k a T a sh o ng l o g n o	compound
কুয়াশাচ্ছন্ন	k u y a sh a ch chh o nn o	native
কৃচ্ছ্র	k ri ch chh r O	tatsama
কৃতকর্ম	k ri t o k o r m O	tatsama
কৃতকার্য	k ri t O k a r j O	tatsama
কৃতজ্ঞ	k r i t O g g O	tatsama
কৃতবিদ্য	k ri t o b i d d o	tatsama
কৃতান্ত	k ri t a nt O	tatsama
কৃতার্থ	k ri t a r th o	tatsama
কৃতার্থম্মন্য	k ri t a r th O mm o n n O	tatsama
কৃতিত্ব	k ri t i tt O	tatsama
কৃতিত্বপুর্ন	k ri t i t t O p u r n O	tatsama
কৃত্ত	k ri tt O	tatsama
কৃত্য	k ri t t O	tatsama
কৃদন্ত	k ri d o nt O	tatsama
কৃশিক্ষেত্র	k ri sh i kkh e tr O	tatsama
কৃশিতথ্য	k ri sh i t o th th o	tatsama
কৃশিদ্রব্য	k ri sh i d r O b b O	tatsama
কৃশিপন্য	k ri sh i p O n n O	tatsama
কৃশিসংক্রান্ত	k ri sh i sh o ng kr a nt o	tatsama
কৃশ্ট	k ri sh T O	tatsama
কৃশ্ন	k ri sh n o	tatsama
কৃশ্নকান্ত	k ri sh n o k o l i r	tatsama
কৃশ্নচন্দ্র	k ri sh n o ch o ndr O	tatsama
কৃশ্নবর্ন	k ri sh n o b o r n o	tatsama
কৃশ্য	k ri sh sh O	tatsama
কৃষিপণ্য	k r i sh i p O n n O	tatsama
কৃষ্ণ	k ri shN O	tatsama
কৃষ্ণচন্দ্র	k ri shN O ch o ndr O	tatsama
কেতাদুরস্ত	k e t a d u r o st o	native
কেদারগঞ্জ	k e d a r g o nj	tatsama
কেনার্ড	k e n a r D	proper_noun
কেনাসংক্রান্ত	k e n a sh o ng kr a nt O	loanword
কেন্ট	k e n T	proper_noun
কেন্দ	k e nd O	native
কেন্দ্র	k e ndr O	native
কেন্দ্রসংলগ্ন	k e ndr O sh o ng l o g n o	compound
কেপল্যান্ড	k e p l e n D	proper_noun
কেবলমাত্র	k A b O l m a tr O	native
কেব্ল	k e bl	loanword
কেমিকাল্স	k e m i k a l s	native
কেমিস্ট	k e m i s T	loanword
কেরানিগঞ্জ	k e r a n i g o nj	tatsama
কেশবচন্দ্র	k e sh o b ch o ndr O	native
কেশবানন্দ	k e sh o b a n o nd o	native
কেশাগ্র	k e sh a g gr O	native
কেশ্ট	k e sh T O	native
কেয়ার্ন	k e y a r n o	native
কোইবর্ত	k O i b o r t o	native
কোইবল্য	k O i b o l l o	native
কোউটিল্য	k O u T i l l O	native
কোউতুকপুর্ন	k O u t u k p u r n O	native
কোউমার্য	k O u m a r j O	native
কোউর্ম	k O u r m O	native
কোউলিন্য	k O u l i n n O	native
কোউশলপত্র	k O u sh o l p o tr O	native
কোউশলমাত্র	k O u sh o l m a tr O	native
কোউসুম্ভ	k O u sh u m bh O	native
কোচবাক্স	k O ch b a k s O	loanword
কোটামুক্ত	k O T a m u kt O	native
কোদন্ড	k O d o n D O	native
কোন্দলমুক্ত	k O nd o l m u kt o	native
কোবাল্ট	k O b a l T	loanword
কোমেরসান্ত	k O m e r sh a nt o	native
কোম্পানিগঞ্জ	k O mp a n i g o nj	loanword
কোরন্ড	k O r o n D o	native
কোর্ট	k O r T	loanword
কোর্টসংলগ্ন	k O r T sh o ng l o g n o	loanword
কোর্স	k O r s	loanword
কোলাহলপুর্ন	k O l a h o l p u r n o	native
কোলাহলমুক্ত	k O l a h o l m u kt o	native
কোলেস্টেরলমুক্ত	k O l e s T e r o l m u kt o	loanword
কোল্ড	k O l D	loanword
কোশাধ্যক্ষ	k O sh a dh dh o kkh o	tatsama
কোশ্ঠ	k O sh Th O	native
কোশ্ঠকাঠিন্য	k O sh Th O k a Th i n n O	native
কোশ্ন	k O sh n O	native
কোষ্ঠকাঠিন্য	k O shTh O k a Th i n n O	tatsama
কোস্ট	k O s T	loanword
কোস্টগার্ড	k O s T g a r D	loanword
কোয়ার্টারগার্ড	k O y a r T a r g a r D	compound
কোয়াশমেন্ট	k O y a sh m e n T	loanword
কোয়েস্ট	k O y e s T o	loanword
ক্ত	t k o	native
ক্যাটাগরিভুক্ত	k A T a g o r i bh u kt o	loanword
ক্যাটালিস্ট	k A T a l i s T	loanword
ক্যাডটেক্স	k A D T e k s	loanword
ক্যাডারভুক্ত	k A D a r bh u kt o	loanword
ক্যানওয়েস্ট	k A n O y e s T	proper_noun
ক্যান্ট	k A n T	loanword
ক্যান্টনমেন্ট	k A n T O n m e n T	loanword
ক্যান্সার বিশেষজ্ঞ	k A n s a r | b i sh e sh o g g O	compound
ক্যাম্প	k A mp	loanword
ক্যাম্পসংলগ্ন	k A mp sh o ng l o g n o	compound
ক্যাম্পাসসংলগ্ন	k A mp a s sh o ng l o g n O	compound
ক্যালরিজুক্ত	k A l O r i j u kt O	loanword
ক্যালরিযুক্ত	k A l O r i j u kt O	loanword
ক্যাশবাক্স	k A sh b a k s O	loanword
ক্রটিপুর্ন	kr O T i p u r n o	native
ক্রফোর্ড	kr O ph O r D	proper_noun
ক্রব্য	kr O b b O	native
ক্রমোৎকর্ষ	kr O m O t k o r o sh O	tatsama
ক্রাইস্ট	kr a i s T o	loanword
ক্রাইস্টচার্চ	kr a i s T ch a r ch	loanword
ক্রান্ত	kr a nt O	native
ক্রিকেটবিশ্ব	k ri k e T b i sh sh O	loanword
ক্রিকেটভক্ত	k ri k e T bh o kt O	loanword
ক্রিকেটার্স	k ri k e T a r s	loanword
ক্রিসেন্ট	k ri s e n T	loanword
ক্রিড়াচক্র	k ri r a ch o kr O	native
ক্রিড়ানোইপুন্য	k ri r a n O i p u n n e	compound
ক্রিড়াব্যক্তিত্ব	k ri r a b e kt i t t O	tatsama
ক্রুদ্ধ	kr u d dh O	tatsama
ক্রুশবিদ্ধ	kr u sh b i d dh O	tatsama
ক্রেতব্য	kr e t o b b O	native
ক্রেতাশুন্য	kr e t a sh u n n O	native
ক্রেতাশূন্য	kr e t a sh u n n O	native
ক্রেস্ট	kr e s T	loanword
ক্রোউঞ্চ	kr O u nch O	tatsama
ক্রোউর্য	kr O u r j O	native
ক্রোধান্ধ	kr O dh a ndh o	tatsama
ক্রোড়পত্র	kr O r p o tr O	native
ক্রয়কেন্দ্র	kr o y k e ndr O	native
ক্রয়মুল্য	kr o y o m u l l o	native
ক্রয়সংক্রান্ত	kr o y o sh o ng kr a nt o	compound
ক্লাইটার্স	kl a i T a r s	proper_noun
ক্লাইমেক্স	kl a i m e k s	loanword
ক্লাইম্ব	kl a i mb	loanword
ক্লাইম্যাক্স	kl a i m e k s	loanword
ক্লাইস্টার্স	kl a i s T a r s	proper_noun
ক্লান্ত	kl a nt O	native
ক্লারেন্স	kl a r e n s o	loanword
ক্লার্ক	kl a r k	loanword
ক্লায়েন্ট	kl a y e n T	native
ক্লিনহার্ট	kl i n h a r T	loanword
ক্লিন্ট	kl i n T	loanword
ক্লিন্ন	kl i nn O	loanword
ক্লিফোর্ড	kl i ph O r D	loanword
ক্লিভল্যান্ড	kl i bh l A n D	native
ক্লিশ্ট	kl i sh T o	native
ক্লিয়ারেন্স	kl i y a r e n s	loanword
ক্লেমেন্ট	kl e m e n T	loanword
ক্লোইব্য	kl O i b b O	native
ক্লোরোপ্লাস্ট	kl O r O p l a s T	loanword
ক্ষ	kh o	tatsama
ক্ষতচিহ্ন	kh o t O ch i n h O	tatsama
ক্ষতিগ্রস্ত	kh O t i gr O st O	tatsama
ক্ষতিগ্রস্থ	kh O t i gr O sth O	tatsama
ক্ষত্র	kh o tr O	tatsama
ক্ষন্তব্য	kh O nt O b b O	tatsama
ক্ষন্নিবৃত্ত	kh O nn i b r i tt O	tatsama
ক্ষমতাকেন্দ্র	kh o m O t a k e ndr O	tatsama
ক্ষমতাপ্রাপ্ত	kh o m O t a pr a p t O	tatsama
ক্ষমতাশুন্য	kh o m O t a sh u n n o	tatsama
ক্ষমতাসংক্রান্ত	kh o m O t a sh o ng kr a nt o	tatsama
ক্ষমতাসম্পন্ন	kh o m O t a sh o mp o nn O	tatsama
ক্ষমাপ্রাপ্ত	kh o m a pr a p t o	tatsama
ক্ষম্য	kh o m m O	tatsama
ক্ষাত্র	kh a tr O	tatsama
ক্ষান্ত	kh a nt O	tatsama
ক্ষারজুক্ত	kh a r j u kt O	tatsama
ক্ষারযুক্ত	kh a r j u kt O	tatsama
ক্ষিপ্ত	kh i p t O	tatsama
ক্ষিপ্র	kh i p r O	tatsama
ক্ষুদ্ধ	kh u d dh O	tatsama
ক্ষুদ্র	kh u d r O	tatsama
ক্ষুদ্রশিল্প	kh u d r O sh i l p o	tatsama
ক্ষুদ্রাতিক্ষুদ্র	kh u d r O t i kh u d r O	tatsama
ক্ষুধামান্দ্য	kh u dh a m a nd o	tatsama
ক্ষুধামুক্ত	kh u dh a m u kt o	tatsama
ক্ষুধার্ত	kh u dh a r t O	tatsama
ক্ষুন্ন	kh u nn O	tatsama
ক্ষুন্ন্ন	kh u nn o	tatsama
ক্ষুব্ধ	kh u b dh O	tatsama
ক্ষেত্র	kh e tr O	tatsama
ক্ষেপণাস্ত্র	kh e p O n a s t r O	tatsama
ক্ষেপনাস্ত্র	kh e p o n a s t r O	tatsama
ক্ষোউদ্র	kh O u d r O	tatsama
ক্ষয়প্রাপ্ত	kh o y pr a p t O	tatsama
কড়ংকস্য	k o r o ng k O sh sh O	native
কড়ম্ব	k o r o mb O	native
কয়লাক্ষেত্র	k o y o l a kh e tr O	tatsama
ক–বর্গ	k o b o r g O	native
খঞ্জ	kh o nj O	tatsama
খণ্ডবাক্য	kh o n D O b a k k O	tatsama
খতিয়ানভুক্ত	kh O t i y a n bh u kt o	native
খনকজন্ত্র	kh o n o k j o n t r O	native
খননক্ষেত্র	kh o n o n kh e tr O	tatsama
খননজন্ত্র	kh o n O n j o nt r O	native
খননযন্ত্র	kh o n O n j o n t r O	native
খনিজসমৃদ্ধ	kh o n i j sh o m ri d dh o	tatsama
খনিত্র	kh O n i tr O	native
খনিসমৃদ্ধ	kh o n i sh o m ri d dh o	tatsama
খন্ড	kh o n D O	native
খন্ডচিত্র	kh o n D O ch i tr O	native
খন্ডজুদ্ধ	kh o n D O j u d dh O	tatsama
খন্ডবাক্য	kh o n D O b a k k O	native
খন্ডবিখন্ড	kh o n D O b i kh o n D o	native
খন্ড্য	kh o n D D o	native
খন্দ	kh o nd O	native
খপুশ্প	kh o p u sh p O	native
খবরপত্র	kh o b o O p o tr O	native
খমধ্য	kh o m O d dh O	native
খরচসাপেক্ষ	kh o r O ch sh a p e kkh o	tatsama
খর্ব	kh o r b O	native
খলিলগঞ্জ	kh O l i l g o nj o	proper_noun
খল্ল	kh o l l O	native
খাওন্দ	kh a O nd	native
খাতভুক্ত	kh a t bh u kt o	native
খাতসংশ্লিশ্ট	kh a t sh o ng sh l i sh T o	native
খাতাপত্র	kh a t a p o tr O	native
খাতুনগঞ্জ	kh a t u n g o nj	tatsama
খাদ্য	kh a d d O	native
খাদ্যদ্রব্য	kh a d d O d r O b b O	native
খাদ্যপন্য	kh a d d O p O n n O	native
খাদ্যমুল্য	kh a d d O m u l l o	native
খাদ্যশস্য	kh a d d O sh O sh sh O	native
খাদ্যশিল্প	kh a d d O sh i l p o	native
খাদ্যসাহাজ্য	kh a d d O sh a h a j j O	native
খানগঞ্জ	kh a n g o nj	tatsama
খানাখন্দ	kh a n a kh o nd O	native
খামেন্দ	kh a m e nd	native
খারিজসংক্রান্ত	kh a r i j sh o ng kr a nt o	compound
খালসংলগ্ন	kh a l sh o ng l o g n o	native
খালাসপ্রাপ্ত	kh a l a sh pr a p t o	native
খালিত্য	kh a l i t t O	native
খিন্ন	kh i nn O	native
খুচরামুল্য	kh u ch r a m u l l o	native
খুদ্দ	kh u d d O	native
খুরপ্র	kh u r pr O	native
খুশবন্ত	kh u sh b o nt o	native
খেতাবপ্রাপ্ত	kh e t a b pr a p t O	native
খেলোয়াড়বিশিশ্ট	kh E l O y a r b i sh i sh T O	native
খেয়াঘাটসংলগ্ন	kh e y a gh a T sh o ng l o g n O	native
খোর্দ্দ	kh O r d d o	native
খোশগল্প	kh O sh g o l p O	native
খোস্ত	kh O st o	native
খ্যাতিসম্পন্ন	kh A t i sh o mp O nn O	compound
খ্রিশ্ট	kh r i sh T O	loanword
খ্রিশ্টধর্ম	kh r i sh T O dh o r m O	loanword
খ্রিশ্টপুর্ব	kh r i sh T O p u r b O	loanword
খ্রিশ্টাব্দ	kh r i sh T a b d O	loanword
খ্রিষ্টাব্দ	kh r i s T a b d O	tatsama
খ্রিস্ট	kh r i s T	loanword
খ্রিস্টধর্ম	kh r i s T O dh o r m O	loanword
খ্রিস্টপুর্ব	kh r i s T O p u r b O	loanword
খ্রিস্টপূর্ব	kh r i sh T O p u r b O	loanword
খ্রিস্টাব্দ	kh r i s T a b d O	loanword
খড়্গ	kh o r g O	native
খড়্গহস্ত	kh o r g h o st o	native
খ–বাশ্প	kh o b a sh p O	native
গজস্কন্ধ	g o j O s k o ndh O	loanword
গজেন্দ্র	g o j e ndr O	native
গঞ্জ	g o nj	tatsama
গঠনতন্ত্র	g o Th O n t o n t r O	native
গঠনসংক্রান্ত	g o Th o n sh o ng kr a nt o	native
গণপ্রতিনিধিত্ব	g o n O pr O t i n i dh i tt O	tatsama
গণ্য	g O n n O	tatsama
গতিসম্পন্ন	g O t i sh o mp O nn O	native
গদ্য	g O d d O	native
গনকক্ষ	g o n O k o kkh o	tatsama
গনকন্ঠ	g o n O k o n Th o	native
গনচিত্র	g o n O ch i tr O	native
গনতদন্ত	g o n O t o d o nt o	native
গনতন্ত্র	g o n O t o nt r O	native
গননাট্য	g o n o n a T T o	native
গনপুর্ত	g o n O p u r t O	native
গনপ্রতিনিধিত্ব	g o n O pr O t i n i dh i t t O	tatsama
গনফ্রন্ট	g o n O ph r O n T	loanword
গনবিচ্ছিন্ন	g o n O b i ch chh i nn o	native
গনস্বাস্থ্য	g o n O sh a sth O	tatsama
গনিতজ্ঞ	g O n i t o g g O	tatsama
গন্ড	g o n D O	native
গন্ডিবদ্ধ	g O n D i b o d dh O	tatsama
গন্তব্য	g O nt O b b O	native
গন্ধ	g o ndh O	tatsama
গন্ধজুক্ত	g o ndh O j u kt O	native
গন্ধযুক্ত	g o ndh O j u kt O	tatsama
গন্ধর্ব	g o ndh o r b O	tatsama
গন্য	g o n n o	native
গন্যমান্য	g o n n o m a n n o	native
গপ্প	g o p p O	native
গবচন্দ্র	g o b ch o ndr O	native
গবর্নমেন্ট	g o b o r n o m e n T o	native
গবর্মেন্ট	g o b o r m e n T o	native
গবাক্ষ	g o b a kkh O	tatsama
গবেশনাকর্ম	g o b e sh o n a k o r m o	native
গবেশনাকেন্দ্র	g o b e sh o n a k e ndr O	compound
গবেশনাগ্রন্থ	g o b e sh o n a gr O n th o	native
গবেশনাপত্র	g o b e sh o n a p o tr O	native
গবেশনাপ্রবন্ধ	g o b e sh o n a pr O b o ndh o	compound
গবেশনাভুক্ত	g o b e sh o n a bh u kt o	native
গবেশনালব্ধ	g o b e sh o n a l o b dh O	native
গবেষণালব্ধ	g o b e sh o n a l o b dh O	tatsama
গব্য	g O b b O	native
গভমেন্ট	g o bh m e n T	native
গভর্নমেন্ট	g o bh o r n m e n T o	native
গভর্নেন্স	g o bh O r n e n s	loanword
গভর্ন্যান্স	g o bh O r n A n s	loanword
গভার্ন	g o bh a r n	loanword
গমিশ্ট	g O m i sh T O	native
গম্বুজবিশিশ্ট	g o mb u j o b i sh i sh T o	compound
গম্য	g O m m O	native
গরপছন্দ	g o r o p o chh o nd o	native
গরিশ্ঠ	g O r i sh Th O	native
গরিষ্ঠ	g O r i shTh O	tatsama
গরুত্মন্ত	g O r u t m o nt O	native
গর্ত	g o r t O	native
গর্দ	g o r d o	native
গর্ব	g o r b O	native
গর্ভ	g o r bh O	native
গর্ভস্থ	g o r bh O sth O	native
গলগন্ড	g o l O g o n D O	native
গলদঘর্ম	g o l O d O gh o r m O	native
গলদ্ঘর্ম	g o l O d gh o r m O	native
গলাবন্ধ	g o l a b o ndh o	tatsama
গল্প	g o l p O	native
গল্পগুচ্ছ	g o l p O g u ch chh o	native
গল্পগ্রন্থ	g o l p O gr O n th O	native
গল্ফ	g o l ph	loanword
গস্ত	g o st O	native
গাইডেন্স	g a i D e n s o	loanword
গাইনোকলজিস্ট	g a i n O k o l o j i s T o	loanword
গাড়ির কাগজপত্র	g a r i r | k a g O j p o tr O	compound
গাতব্য	g a t o b b O	native
গাত্র	g a tr O	native
গানপত্য	g a n O p O t t O	native
গানাঢ্য	g u n a Dh Dh O	native
গান্ধিভক্ত	g a ndh i bh o kt o	tatsama
গাম্ভির্য	g a m bh i r j O	native
গারফিল্ড	g a r ph i l D	proper_noun
গার্গ	g a r g a	proper_noun
গার্ট	g a r T	native
গার্টেনবার্গ	g a r T e n b a r g	native
গার্ড	g a r D	loanword
গার্মেন্ট	g a r m e n T	loanword
গার্ল	g a r l	loanword
গার্লফ্রেন্ড	g a r l ph r e n D	loanword
গার্হপত্য	g a r h O p o t t O	native
গার্হস্থ	g a r h o sth o	native
গার্হস্থ্য	g a r h O s th O	native
গালগপ্প	g a l g o p p o	native
গালগল্প	g a l g o l p O	native
গালমন্দ	g a l m o nd O	native
গাল্ফ	g a l p o	loanword
গাশ্ত	g a sh t O	native
গিগাহার্জ	g i g a h a r j	loanword
গিটারিস্ট	g i T a r i s T	loanword
গিতিকাব্য	g i t i k a b b o	native
গিতিনাট্য	g i t i n a T T O	native
গিতিসত্র	g i t i sh o tr O	native
গিনসবার্গ	g i n s b a r g o	proper_noun
গিন্সবার্গ	g i n s o b a r g o	loanword
গিফ্ট	g i ph T	loanword
গিরিন্দ্র	r i r i ndr O	native
গিরিশচন্দ্র	g i r i sh ch o ndr O	proper_noun
গির্দ	g i r d O	native
গির্ন	g i r n O	native
গিলক্রিস্ট	g i l kr i s T	loanword
গিলবার্ট	g i l b a r T	proper_noun
গিলার্ড	g i l a r D	proper_noun
গিল্ড	g i l D	loanword
গিয়ার্ট	g i y a r T o	native
গুচ্ছ	g u ch chh O	native
গুঞ্জ	g u nj O	tatsama
গুটিবসন্ত	g u T i b o sh o nt o	native
গুনমুগ্ধ	g u n m u g dh o	native
গুনসম্পন্ন	g u n sh o mp O nn O	native
গুনোৎকর্ষ	g u n O t k o r sh O	tatsama
গুপিজন্ত্র	g u p i j o n t r O	native
গুপ্ত	g u p t O	native
গুম্ফ	g u m ph O	native
গুরত্ব	g u r o tt o	tatsama
গুরত্বপুর্ন	g u r o t p u r n o	tatsama
গুরুকান্ত	g u r u k a nt o	native
গুরুত্ব	g u r u tt O	tatsama
গুরুত্বপর্ন	g u r u tt o p o r n o	tatsama
গুরুত্বপুর্ন	g u r u t t O p u r n O	tatsama
গুরুত্বপূর্ণ	g u r u tt O p u r n O	tatsama
গুরুত্বপূর্ন	g u r u tt O p u r n O	tatsama
গুরুত্ব্বপুর্ন	g u r u tw b o p u r n o	tatsama
গুরুদন্ড	g u r u d o n D O	native
গুরুদায়িত্ব	g u r u d a y i tt o	tatsama
গুর্জ	g u r j o	native
গুলঞ্চ	g u l O nch O	tatsama
গুলিবদ্ধ	g u l i b o d dh o	tatsama
গুলিবিদ্ধ	g u l i b i d dh O	tatsama
গুল্ফ	g u l ph O	native
গুল্ম	g u l m O	native
গুহ্য	g u j jh O	native
গৃধ্র	g r i dh r O	tatsama
গৃহজুদ্ধ	g ri h o j u d dh o	tatsama
গৃহবন্দিত্ব	g ri h O b O nd i tt o	tatsama
গৃহভৃত্য	g ri h O bh ri t t o	tatsama
গৃহস্থ	g ri h O sth O	tatsama
গৃহিতব্য	g ri h i t o b b o	tatsama
গৃহ্য	g r i j jh O	tatsama
গেজেটভুক্ত	g e j e T bh u kt O	native
গেটসংলগ্ন	g e T sh o ng l o g n O	loanword
গেটিসবার্গ	g e T i s b a r g	proper_noun
গেরস্ত	g e r o sh th o	native
গেরহার্ড	g e r o h a r D	proper_noun
গের্দ	g e r d o	proper_noun
গেলফান্ড	g e l ph a n D	loanword
গেস্ট	g e s T	loanword
গোউরচন্দ্র	g O u r o ch o ndr O	native
গোউরবদিপ্ত	g O u r o b d i p t o	native
গোউড়গোবিন্দ	g O u r o g O b i nd o	native
গোকর্ন	g O k o r n O	native
গোখাদ্য	g O kh a d d o	native
গোত্র	g O tr O	native
গোপনসংক্রান্ত	g O p o n sh o ng kr a nt o	compound
গোপালকৃশ্ন	g O p a l k ri sh n o	tatsama
গোপালগঞ্জ	g O p a l g o nj	tatsama
গোপ্য	g O p p o	native
গোবিন্দ	g O b i nd O	native
গোবিন্দগঞ্জ	g O b i nd O g o nj	tatsama
গোবিন্দচন্দ্র	g O b i nd o ch o ndr O	compound
গোবুচন্দ্র	g O b u ch o ndr O	native
গোবোইদ্য	g O b O i d d o	native
গোমুত্র	g O m u tr O	native
গোর্খাল্যান্ড	g O r kh a l A n D	proper_noun
গোলজোগপুর্ন	g O l a j O g p u r n O	native
গোলপোস্ট	g O l p O s T	loanword
গোলশুন্য	g O l sh u n n o	native
গোলশূন্য	g O l sh u n n O	native
গোলসর্ব	g O l sh o r b O	native
গোলাপগঞ্জ	g O l a p g o nj	tatsama
গোলার্ধ	g O l a r dh O	native
গোল্ড	g O l D	native
গোল্ডবার্গ	g O l D b a r g	proper_noun
গোশ্ঠ	g O sh Th O	native
গোশ্ঠিস্বার্থ	g O sh Th i sh a r th o	tatsama
গোস্ট	g O sh T	loanword
গোস্ত	g O st O	native
গোয়ালন্দ	g O y a l o nd o	native
গ্দানস্ক	g d a n o s k	loanword
গ্যালান্স	g A l a n s	loanword
গ্যাসক্ষেত্র	g A s kh e tr O	tatsama
গ্যাসফিল্ড	g A s ph i l D	loanword
গ্যাসশুন্য	g A s o sh u n n o	loanword
গ্যাসসমৃদ্ধ	g A s sh o m r i d dh O	tatsama
গ্রন্থ	gr O n th O	native
গ্রহণযোগ্য	gr O h O n j O g g O	tatsama
গ্রহনজোগ্য	gr O h O n j O g g O	native
গ্রহনযোগ্য	gr O h O n j O g g O	native
গ্রহনসংক্রান্ত	gr O h o n sh o ng kr a nt o	compound
গ্রহাচার্য	gr O h a ch a r j O	native
গ্রাউন্ড	gr a u n D	loanword
গ্রান্ট	gr a n T	native
গ্রান্ড	gr a n D	loanword
গ্রাফিক্স	gr a ph i k s	loanword
গ্রাফিক্স কার্ড	gr a ph i k s | k a r D	compound
গ্রামগঞ্জ	gr a m g o nj	tatsama
গ্রামসংলগ্ন	gr a m sh o ng l o g n o	native
গ্রাম্য	gr a m m O	native
গ্রাহ্য	gr a j j O	native
গ্রিনকার্ড	g ri n k a r D	loanword
গ্রিনফিল্ড	gr i n ph i l D	loanword
গ্রিনল্যান্ড	g ri n l A n D	loanword
গ্রিনহান্ট	gr i n h a n T	loanword
গ্রিন্ট	gr i n T	loanword
গ্রিল্ড	g ri l D	loanword
গ্রিশ্ম	gr i sh sh o	native
গ্রীষ্ম	gr i sh sh O	tatsama
গ্রুপপর্ব	gr u p p o r b O	native
গ্রুপভুক্ত	gr u p bh u kt o	native
গ্রেটেস্ট	gr e T e s T	loanword
গ্রেডভুক্ত	gr e D bh u kt o	loanword
গ্রেডিয়েন্ট	gr e D i y e n T	loanword
গ্রেপ্তারসংক্রান্ত	gr e p t a r sh o ng kr a nt O	loanword
গ্র্যান্ট	g r A n T	loanword
গ্র্যান্ড	g r A n D	loanword
গ্র্যান্ডমাস্টার্স	g r A n D m a s T a r s	loanword
গ্লানিমুক্ত	g l a n i m u kt o	native
গ্ল্যান্ড	g l A n D	loanword
গ্স	g s o	native
গড়ুলি–মন্ত্র	g O r u l i m o nt r O	native
গয়ংগচ্ছ	g o y O ng g o ch chh O	native
ঘট্ট	gh o T T O	native
ঘনত্ব	gh o n O tt O	tatsama
ঘনবদ্ধ	gh o n o b o d dh o	tatsama
ঘনবসতিপুর্ন	gh o n O b o sh O t i p u r n O	native
ঘনবসতিপূর্ণ	gh o n O b o sh O t i p u r n O	tatsama
ঘনিশ্ট	gh O n i sh T O	native
ঘনিশ্ঠ	gh O n i sh Th O	native
ঘনিষ্ট	gh O n i shT O	tatsama
ঘন্ট	gh o n T O	native
ঘন্টাকর্ন	gh o n T a k o r n O	native
ঘরট্ট	gh o r o T T o	native
ঘর্ম	gh o r m O	native
ঘর্মক্লান্ত	gh o r m o kl a nt o	native
ঘর্মাক্ত	gh o r m a kt O	native
ঘর্ম্য	gh o r m O	native
ঘাটসংলগ্ন	gh a T sh o ng l o g n o	native
ঘাত্য	gh a t t O	native
ঘুমন্ত	gh u m o nt O	native
ঘুর্ন	gh u r n O	native
ঘুর্নাবর্ত	gh u r n a b o r t O	native
ঘৃতাক্ত	gh ri t a kt O	tatsama
ঘৃতান্ন	gh ri t a nn O	tatsama
ঘৃন্য	gh ri n n o	tatsama
ঘৃশ্ট	gh ri sh T O	tatsama
ঘেটুপুত্র	gh e T u p u tr O	native
ঘোরগ্রস্ত	gh O r gr O sh o st o	native
ঘোশনাপত্র	gh O sh o n a p o tr O	native
ঘোশনাসংক্রান্ত	gh O sh o n a sh o ng kr a nt o	compound
ঘোষণাপত্র	gh O sh O n a p o tr O	tatsama
ঘোস্ট	gh O sh T	loanword
চইতন্য	ch O i t o n n O	native
চইত্র	ch O i tr O	native
চক্র	ch o kr O	native
চক্রান্ত	ch o kr a nt O	native
চক্রাবর্ত	ch o kr a b o r t O	native
চক্ষ	ch O kkh O	tatsama
